cluster,n,mean_rarefied_richness_Ag,n_private_alleles,private_per_1k_snps
C0,31,1.542173333254836,686,1.3646988610931516
C1,20,1.5091465647084488,154,0.30636096881682995
C2,20,1.55884544735114,2570,5.112647336748396
C3,5,1.7495006013977863,0,0.0
C4,33,1.5649881818714826,740,1.472124135873079
C5,20,1.3539315641543528,3350,6.664345750236236
C6,21,1.5795942047535427,701,1.394539215198687
