"sample","PC1","PC2","PC3","PC4","PC5","PC6"
"CX151",0.0649466474141311,0.187495443590903,-0.00748649774151232,-0.00800703347892136,0.0108611284172595,-0.00249709643495247
"IRIS_313-8458",-0.0778811436099829,-0.00265915227212787,0.0416601579000137,0.130694958038557,-0.00270164602977307,0.136716197230567
"IRIS_313-8621",-0.0971950241481385,0.00468180662831694,0.0946600522278301,-0.0135496771578655,0.0131979783829392,0.16900528935438
"IRIS_313-8731",-0.0924519152202648,-0.0166307836494015,-0.152137040453955,-0.11362711381659,-0.01982204286441,-0.0349661831400884
"IRIS_313-8754",-0.0832418771170644,-0.0211843893052794,-0.0997190555609001,-0.0856408676118733,0.0139632027680318,-0.0269476354542543
"IRIS_313-8924",-0.092250591018003,-0.0213043917085458,-0.147183699919782,-0.0997434326413232,0.00417712113100407,-0.045254197071617
"IRIS_313-8982",-0.0662602873098718,-0.0192009577665716,0.00910580139199952,0.253297079694471,-0.013595197872594,-0.194937314802116
"IRIS_313-9023",-0.0900702306675713,0.00346939728842848,0.107050668882459,-0.0256614823589044,0.0296247714380066,0.169378537748425
"IRIS_313-9351",-0.0716402419450464,-0.0104433411987277,-0.0515948903281349,-0.0746957251559101,0.0314225374682926,-0.0805359433412751
"IRIS_313-9400",-0.039230621500037,0.0447322571862711,0.0472199632580864,-0.0011753241228083,0.0272634510378017,0.190128925384055
"IRIS_313-9522",-0.0791462944324882,0.00782152876845784,0.124241690669218,-0.0120808781835074,0.025688721033364,0.211686126792932
"IRIS_313-9604",-0.0961024762961289,-0.000401105592131176,0.163875300585741,-0.136354892231375,0.0641633585865796,-0.143906971087351
"IRIS_313-9605",-0.101396186137051,-0.00484606538455782,0.153801278301545,-0.00696477841754918,-0.00150799816840417,-0.0707555510968882
"IRIS_313-9611",-0.0960138530516936,-0.0184289204121525,-0.135372775933248,-0.104221339001972,-0.0200214421597142,-0.0602498637020582
"IRIS_313-10148",-0.102590374681719,-0.00116243841320601,0.210917824896088,-0.13267060341085,0.0436010923826604,-0.0758240553460618
"IRIS_313-10150",0.0945679343687948,-0.0730556788238824,0.0141445151964258,-0.015604583109663,-0.0330715722350121,0.00724366538005707
"IRIS_313-10531",-0.0118652502055515,0.0324324052449067,-0.0371473861275699,-0.0124966488058393,0.0174128308210105,0.0685782909116937
"IRIS_313-10534",0.0818800523543815,-0.0649582857278513,-0.00406137722334973,0.0660956977888873,0.207665609197377,-0.0161223029191906
"IRIS_313-10543",0.0764179946505531,-0.0426060235848868,-0.0102676424555856,0.0242828365847643,0.166493750426847,-0.00379935224263945
"IRIS_313-10544",-0.0835961119589503,-0.0191417747729701,-0.0741945001913772,-0.0561453362867542,0.00673482146367895,-0.0775279735563298
"IRIS_313-10608",0.100433002071462,-0.0635641048252918,0.0139903908644559,-0.0283723347100626,-0.0343762367925509,0.0019176860699604
"IRIS_313-10666",-0.0901756836471687,-0.00464250501812719,-0.00140826512174873,0.123144927438448,-0.0379783121865059,0.0944662677381105
"IRIS_313-10671",-0.0491230584136507,-0.0212456244659108,0.021442495266594,0.229084611993776,-0.0113926793948354,-0.220465038798498
"IRIS_313-10675",-0.0755156068357038,-0.0181017585781485,0.0113089828551307,0.249116617666937,-0.0207466302218301,-0.17579524720498
"IRIS_313-10676",-0.0132348321954815,-0.0342625468630168,0.0141840232752439,0.213611156054073,-0.0201227947187005,-0.206693828252523
"IRIS_313-10754",-0.104425392942563,0.0045184024430022,0.243501724707493,-0.089690166497886,0.0378856214580848,0.015266885788668
"IRIS_313-10833",-0.0876231283125626,-0.0136405310707213,-0.0631307569713003,-0.0500738636325871,0.0107914653379107,-0.0684104260950028
"IRIS_313-10834",0.069357499777712,0.195893573043044,-0.0119804688181177,-0.00655617714484981,0.0050036488346489,-0.0044220465813112
"IRIS_313-10835",-0.0867777762754368,-0.0135581108358581,-0.0596197964242028,-0.0695801100126264,0.0183906020419693,-0.103139585851978
"IRIS_313-10836",-0.0917741578561323,-0.0138109884311871,-0.0607802216374848,-0.0666020554338693,0.013700149398738,-0.117382614118627
"IRIS_313-10849",0.0943596726895866,-0.074199771182644,-0.000537064268471156,0.00153389725483197,0.0747210922077991,0.0263406289273518
"IRIS_313-10850",0.0119365624081952,0.0804765894307265,-0.0566893054044674,-0.0429338153366701,0.0168390630982807,-0.0294428655126888
"IRIS_313-10852",0.103802439582842,-0.0725906736859763,0.00236459267621792,-0.00106095263938009,0.0261159617776546,0.0158467518137133
"IRIS_313-10853",0.0699239585917905,0.210913555545586,-0.0102647818376426,-0.00754008620792484,-0.00105090717426874,-0.0153623364118752
"IRIS_313-10857",-0.0222055418468832,-0.0260144274858801,0.0171587973063323,0.22108270745528,0.00845276882746977,-0.220156804960895
"IRIS_313-10859",-0.03200655796115,-0.0249249451528275,0.00883937556391148,0.172111870938949,-0.0716555438245305,-0.150408787504204
"IRIS_313-10861",0.0903192220072025,-0.0625378301779742,0.0251960383904711,-0.0270544643650237,-0.238328683840978,0.00440443864649594
"IRIS_313-10862",0.0698651465829415,0.208900300370924,-0.0108613306083743,-0.00843590745136208,-0.00012450405633168,-0.0151844239850314
"IRIS_313-10865",0.0705882587700076,0.201738750133091,-0.00710297549559232,-0.0124024858939379,-0.00203784103438801,-0.0133139166011028
"IRIS_313-10866",0.0724061475849144,0.210893028989768,-0.006902787563796,-0.0118776651492867,-0.00377965969626611,-0.0128939706770682
"IRIS_313-10867",0.0688856237073992,0.209338564842976,-0.00878631239410769,-0.012656596999564,-0.0049138228019592,-0.0210096073034727
"IRIS_313-10869",0.10031664856684,-0.0697452752195135,0.0261297647198757,-0.0321238315738699,-0.193323963057199,-0.00327359932284516
"IRIS_313-10870",0.0700809204268256,0.203530788770876,-0.0119186629692895,-0.00529254983682063,-0.00753056043965364,-0.0167725298381131
"IRIS_313-10871",0.0970102425996211,-0.060768542599432,0.024368624201689,-0.0332696903051696,-0.230927745454271,0.00202783476546128
"IRIS_313-10872",0.0397142904620759,0.167128224055728,-0.00412844482835834,0.00636773999138883,-0.00910218880650126,0.0104286335482532
"IRIS_313-10873",0.0735438812721632,-0.00595470451104167,-0.0026973424923691,0.044028757402148,0.0732867662793123,-0.0236556611241052
"IRIS_313-10875",0.10271840953581,-0.0706270266504269,0.00461421032031772,-0.015836604252442,-0.0461138999406051,0.0215352071705344
"IRIS_313-10876",0.0965475693100577,-0.0589257264003171,0.0283478869510922,-0.0364944716725572,-0.251873537006713,0.0021999152066504
"IRIS_313-10877",0.0967371766774628,-0.0628797097505812,0.0287650613253027,-0.0422727144328896,-0.260323134269498,-0.00449716854553389
"IRIS_313-10878",0.0971929816903248,-0.0627596627435182,0.0287300756136704,-0.0427281091420463,-0.262577597955814,-0.00546203428539276
"IRIS_313-10879",0.0253833295072635,-0.0326790508009294,0.0116613601441717,0.0297540334031496,-0.170988018621139,0.0381521033790603
"IRIS_313-10883",0.0601467192247674,0.0907127033190753,0.0220045639656248,-0.0194830397338673,-0.0810982365060328,-0.0323366805853608
"IRIS_313-10888",0.0673638706635975,0.206986491701698,-0.00927936518208672,-0.00806561199726392,-0.00253297404455155,-0.0260234120305834
"IRIS_313-10893",0.0725888724743251,0.208498621562038,-0.0120914404433725,-0.00932608583701409,-0.00648079325840558,-0.0223212051839442
"IRIS_313-10894",0.0458594940915236,-0.0292859458119501,0.0240435920985408,-0.000350149864540167,-0.197584541311188,-0.00871031453357196
"IRIS_313-10895",0.0703544346713152,0.210079531634132,-0.0142498253431566,-0.0102982121253521,-0.00432519856612521,-0.020235719348004
"IRIS_313-10897",-0.0722605125301693,0.0131765238544395,0.00293449479997191,0.0810241125698369,-0.0177658270460581,0.132505141273364
"IRIS_313-11041",-0.080823221072107,-0.0173756896362809,-0.0833496915458512,-0.0740773438410885,0.0183441040354512,-0.0708754703767264
"IRIS_313-11152",-0.0883255571780314,0.00566419325723003,0.217513346522269,-0.0722793577286931,0.0162597148836824,-0.100157611990513
"IRIS_313-11155",0.0541575109541058,0.175568740070912,-0.0112729064318577,-0.00343088833569519,0.013822879954428,0.0222931375086054
"IRIS_313-11156",0.0592647836290751,0.187299258105188,-0.00436060626313598,-0.00763942216321798,0.0113201610737118,0.0153146891981634
