panel,bin_mid_bp,mean_r2,n_pairs
Set1,12500,0.2131420623596142,229612
Set1,37500,0.19283709570337268,209697
Set1,62500,0.18056566010419978,200225
Set1,87500,0.1706519464864434,195024
Set1,112500,0.16233664015419463,191949
Set1,137500,0.15630290974711677,189378
Set1,162500,0.14897456348871366,188390
Set1,187500,0.14486543829664164,187921
Set1,212500,0.1390556810024348,187504
Set1,237500,0.13446173747476647,186303
Set1,262500,0.13122283315623157,183973
Set1,287500,0.12761979820857067,184017
Set1,312500,0.12474615022100252,183185
Set1,337500,0.12190215082416765,181554
Set1,362500,0.12017107512853767,180100
Set1,387500,0.11743440296630049,181078
Set1,412500,0.11502213823147239,182628
Set1,437500,0.11210699809268652,182588
Set1,462500,0.1109428763755742,179778
Set1,487500,0.10938100737086941,180610
Set1,512500,0.10784894268254702,179310
Set1,537500,0.10660644794115436,179115
Set1,562500,0.10494472538221444,178698
Set1,587500,0.10319605339722311,177289
Set1,612500,0.1018558752644271,177586
Set1,637500,0.10106126060410726,177666
Set1,662500,0.09952725008818843,175906
Set1,687500,0.09850055997636942,175947
Set1,712500,0.09754455967651354,175909
Set1,737500,0.09711595876579122,174054
Set1,762500,0.09579151906760651,173589
Set1,787500,0.09507451265831182,173015
Set1,812500,0.09390861219732678,172858
Set1,837500,0.0937246150925117,172776
Set1,862500,0.09256821680658714,172080
Set1,887500,0.09276960703086937,171654
Set1,912500,0.09183298449769345,170525
Set1,937500,0.0911304189459266,169694
Set1,962500,0.09068561986206602,170120
Set1,987500,0.09071678815861822,168846
