panel,model,cv_r2_mean,cv_r2_sd,n_features,n
Set1,ridge,0.7188568620400226,0.05255967124573779,93,146
Set1,random_forest,0.6337847022172773,0.09597119666754106,93,146
Set2,ridge,0.8720583514139595,0.05876877121068047,93,147
Set2,random_forest,0.7963005377691575,0.06917682025540497,93,147
