"panel","K","repetition","cross_entropy"
"Set2",1,1,0.653199596690231
"Set2",1,2,0.651130738481561
"Set2",1,3,0.648946942034219
"Set2",1,4,0.642547629359968
"Set2",1,5,0.650236597420705
"Set2",2,1,0.583701159635965
"Set2",2,2,0.578431227054753
"Set2",2,3,0.577699865030427
"Set2",2,4,0.571354763883049
"Set2",2,5,0.579314541228583
"Set2",3,1,0.531023250880573
"Set2",3,2,0.532691113732764
"Set2",3,3,0.531455557230791
"Set2",3,4,0.525025568563855
"Set2",3,5,0.532205724396752
"Set2",4,1,0.508058545520884
"Set2",4,2,0.506101417776343
"Set2",4,3,0.506889723044824
"Set2",4,4,0.500871373295513
"Set2",4,5,0.508438009956307
"Set2",5,1,0.495426983421649
"Set2",5,2,0.493918876542616
"Set2",5,3,0.493332394287065
"Set2",5,4,0.488949116375077
"Set2",5,5,0.497414024894942
"Set2",6,1,0.485324933353574
"Set2",6,2,0.49042496448772
"Set2",6,3,0.482875184371103
"Set2",6,4,0.477917809540097
"Set2",6,5,0.485761727638854
"Set2",7,1,0.472950305804999
"Set2",7,2,0.477652545265662
"Set2",7,3,0.472704837788816
"Set2",7,4,0.466351790923804
"Set2",7,5,0.484331303064244
"Set2",8,1,0.468752811302946
"Set2",8,2,0.463578787932014
"Set2",8,3,0.466448507368982
"Set2",8,4,0.461244431556828
"Set2",8,5,0.470910982895336
"Set2",9,1,0.462014365724775
"Set2",9,2,0.455496936161543
"Set2",9,3,0.458172768511521
"Set2",9,4,0.452930353731922
"Set2",9,5,0.461641295058086
"Set2",10,1,0.457305795354843
"Set2",10,2,0.452863704329755
"Set2",10,3,0.452905826676742
"Set2",10,4,0.451661160470475
"Set2",10,5,0.460014332377264
"Set2",11,1,0.446810801666505
"Set2",11,2,0.44749622307589
"Set2",11,3,0.446682775120349
"Set2",11,4,0.438640108678083
"Set2",11,5,0.455971779209596
"Set2",12,1,0.454143790676231
"Set2",12,2,0.449662571717405
"Set2",12,3,0.443122799749933
"Set2",12,4,0.444264818650584
"Set2",12,5,0.454327340191938
