cluster,n,F_within,tajima_d_within,n_snps_within,cm_per_mb,recent_ne_panmictic,recent_ne_selfing_adj
C4,33,0.9557818181818181,0.9439919455323457,424096,3.0,81.07841888986056,1833.5991114072035
C4,33,0.9557818181818181,0.9439919455323457,424096,4.0,60.80881416739542,1375.1993335554025
C4,33,0.9557818181818181,0.9439919455323457,424096,5.0,48.64705133391634,1100.159466844322
