cluster_a,cluster_b,n_a,n_b,theta,ci95_lo,ci95_hi,low_n
C0,C1,31,20,0.4535110421470418,0.43572547396647265,0.4703194319257831,False
C0,C2,31,20,0.17020436953704876,0.1570587184776824,0.1848560422100432,False
C0,C3,31,5,0.13203972480390097,0.11783693982674885,0.14610920831680363,False
C0,C4,31,33,0.44154115690745854,0.4230528811358081,0.46224289087854936,False
C0,C5,31,20,0.5538090667303616,0.5393487765601942,0.5690455349571172,False
C0,C6,31,21,0.14501468006215418,0.1348216888104995,0.15427581081309621,False
C1,C2,20,20,0.4473472032259252,0.43116985415010045,0.4650078954825968,False
C1,C3,20,5,0.319721489573999,0.3015890212292918,0.3366791991092824,False
C1,C4,20,33,0.1407565083002761,0.126110572708348,0.1528990129242837,False
C1,C5,20,20,0.567692151295684,0.5502527771969604,0.5852860158841098,False
C1,C6,20,21,0.4127621083288772,0.3976642719124501,0.43068539189375793,False
C2,C3,20,5,0.12743193921848342,0.11504369815450473,0.1409647179250407,False
C2,C4,20,33,0.4437055371386264,0.42827956882366625,0.4564677815689482,False
C2,C5,20,20,0.5377386241457757,0.5274455870198935,0.5509389272505205,False
C2,C6,20,21,0.13326639387293154,0.12394596754785311,0.14494841622510338,False
C3,C4,5,33,0.304007744027638,0.28766171172615035,0.32136844280635046,False
C3,C5,5,20,0.36391677708950904,0.3474394894180533,0.3806315657117833,False
C3,C6,5,21,0.09158739819361794,0.07911367354562782,0.10371352344091296,False
C4,C5,33,20,0.5475665463650442,0.5330292575191996,0.5615932753643844,False
C4,C6,33,21,0.4091401321001741,0.3927525437109163,0.424927175936411,False
C5,C6,20,21,0.5211108109909721,0.507871692709881,0.535851069999231,False
