Panel,ROH segments,Mean F_ROH,Median F_ROH,Mean total ROH (Mb),Recent Ne (panmictic),Recent Ne (selfing-adj.),"Epoch (generations, selfing-adj.)"
Set1,41244,0.814420074070515,0.8732939582286685,303.8321746666667,57-94,305-1267,128
Set2,15120,0.6733564330090435,0.6800109527384124,250.54892244897957,41-68,126-321,53
