Panel,n,Admixture clusters (K),WC theta (95% CI),Nei Gst (secondary),Fst permutation P,AMOVA % variance among clusters,AMOVA % variance within clusters
Set1,150,7,0.403 (0.393-0.413),0.3296,0.001,56.44,43.56
Set2,147,9,0.379 (0.365-0.393),0.29397,0.001,60.92,39.08
