sample,cluster,n_roh,total_kb,mean_kb,f_roh
IR77298-5-6-18,C5,107,241642.0,2258.336448598131,0.6494188583800631
IR83383-B-B-129-4,C5,105,253494.0,2414.2285714285713,0.6812714018514815
IR83388-B-B108-3,C3,108,246755.0,2284.7685185185187,0.6631601724848017
IR87707-445-B-B,C5,106,248029.0,2339.896226415094,0.6665840790307507
IR87707-446-B-B,C5,99,223486.0,2257.4343434343436,0.6006241588131482
IRROEPYO,C8,56,107687.0,1922.982142857143,0.2894114789745733
KALINGA-1,C2,104,257235.0,2473.4134615384614,0.6913254319836598
KANGRO,C0,107,279408.0,2611.2897196261683,0.7509159185168831
KHAODAWTAI,C7,103,279225.0,2710.9223300970875,0.7504241014855576
MANDRIRAVINA,C0,110,287742.0,2615.836363636364,0.7733137498779025
MAUDAMANI,C7,102,287283.0,2816.5,0.7720801760124467
MOROBEREKAN,C4,117,259017.0,2213.8205128205127,0.6961146011083702
MTU1010,C5,107,234589.0,2192.4205607476633,0.630463746238322
MTU9,C0,109,284547.0,2610.5229357798166,0.7647271082654166
NERICA-L-26,C3,113,248696.0,2200.849557522124,0.6683766580465654
NERICA-L-42,C3,113,239387.0,2118.4690265486724,0.6433584900432382
NERICA-L-44,C5,111,253665.0,2285.2702702702704,0.681730968585671
PARIJAT,C2,106,253025.0,2387.0283018867926,0.6800109527384124
Patchaiperumal,C2,104,242317.0,2329.971153846154,0.6512329375939685
PEH-KUH-TSAO-TU,C0,107,286302.0,2675.7196261682243,0.7694437142215708
PMK-2,C2,102,243910.0,2391.274509803922,0.6555141645387854
PRASAD-1,C7,107,284808.0,2661.7570093457944,0.7654285522281268
PUSASUGANDH5,C2,100,245523.0,2455.23,0.659849141978829
PUSA1121,C1,101,219380.0,2172.079207920792,0.5895891821430804
Pusa1121-SN12,C1,94,183509.0,1952.223404255319,0.49318498142900236
PUSA44,C2,103,249456.0,2421.902912621359,0.6704191768651849
PUSABASMATI6,C7,105,274835.0,2617.4761904761904,0.7386258677832688
PUSASUGANDH2,C7,109,286798.0,2631.1743119266057,0.7707767265031962
RASI,C2,71,141611.0,1994.5211267605634,0.3805830689783196
RKVY-104,C1,100,198915.0,1989.15,0.5345889879022283
RKVY-143,C6,110,246059.0,2236.9,0.6612896552509081
RKVY-28,C1,104,198582.0,1909.4423076923076,0.5336940421567016
R-RF-44,C5,113,258244.0,2285.3451327433627,0.6940371444678533
RRF-78,C5,104,245933.0,2364.7403846153848,0.6609510271309791
Sadabahar,C6,104,257485.0,2475.8173076923076,0.6919973131739952
SAFRI-17,C7,105,246047.0,2343.304761904762,0.661257404953772
SAHBHAGIDHAN,C2,103,258927.0,2513.854368932039,0.6958727238798494
SATABHAMA,C7,105,287437.0,2737.495238095238,0.7724940548256933
SERATOES,C1,100,194424.0,1944.24,0.522519314199044
SERETY,C0,110,284204.0,2583.672727272727,0.7638052872722765
SHAKU,C7,41,73038.8,1781.4341463414635,0.1962935835386636
SR1-3-1,C7,111,287709.0,2591.972972972973,0.7732250615607782
SUWEON,C7,36,62654.4,1740.4,0.1683852514069898
SWARNA,C3,120,263516.0,2195.9666666666667,0.7082057750096452
VANAPRAVA,C1,107,213851.0,1998.607476635514,0.5747298577376236
VANDANA,C3,98,229625.0,2343.112244897959,0.6171228733230232
Wayrarem,C3,105,232318.0,2212.552380952381,0.6243603775053157
