sample,cluster,n_roh,total_kb,mean_kb,f_roh
CX151,C5,142,360514.0,2538.830985915493,0.9663553206818076
IRIS_313-8458,C6,292,333499.0,1142.1198630136987,0.8939417972452169
IRIS_313-8621,C2,282,338227.0,1199.386524822695,0.9066151690315654
IRIS_313-8731,C0,304,336767.0,1107.7861842105262,0.9027016489790973
IRIS_313-8754,C0,318,319442.0,1004.5345911949686,0.8562621045208729
IRIS_313-8924,C0,298,337430.0,1132.3154362416108,0.9044788159618277
IRIS_313-8982,C6,302,322167.0,1066.7781456953642,0.8635664484544177
IRIS_313-9023,C2,287,334009.0,1163.794425087108,0.8953088487703942
IRIS_313-9351,C0,321,325093.0,1012.7507788161994,0.8714095715184733
IRIS_313-9400,C2,286,328391.0,1148.2202797202797,0.8802498380479523
IRIS_313-9522,C2,316,317393.0,1004.4082278481013,0.8507697739814847
IRIS_313-9604,C2,303,312353.0,1030.8679867986798,0.8372600883209103
IRIS_313-9605,C2,315,330016.0,1047.6698412698413,0.8846056394762128
IRIS_313-9611,C0,358,295373.0,825.0642458100559,0.7917453140120704
IRIS_313-10148,C2,262,338738.0,1292.8931297709923,0.9079849010499291
IRIS_313-10150,C4,369,271139.0,734.7940379403794,0.7267862421274753
IRIS_313-10531,C3,33,19561.0,592.7575757575758,0.052433127223510984
IRIS_313-10534,C4,367,284913.0,776.3297002724796,0.7637073552800053
IRIS_313-10543,C4,361,213227.0,590.6565096952909,0.5715535207038278
IRIS_313-10544,C0,291,329639.0,1132.7800687285223,0.8835950935448564
IRIS_313-10608,C1,328,316074.0,963.640243902439,0.8472342034683303
IRIS_313-10666,C6,263,344083.0,1308.3003802281369,0.9223121371324232
IRIS_313-10671,C6,276,287358.0,1041.1521739130435,0.770261161121296
IRIS_313-10675,C6,273,332091.0,1216.4505494505495,0.8901676628384534
IRIS_313-10676,C6,292,333235.0,1141.2157534246576,0.8932341470439488
IRIS_313-10754,C2,382,296722.0,776.7591623036649,0.7953612993208233
IRIS_313-10833,C0,348,317192.0,911.471264367816,0.8502309948509736
IRIS_313-10834,C5,115,362591.0,3152.965217391304,0.9719227050304213
IRIS_313-10835,C0,388,284317.0,732.7757731958762,0.7621097813407787
IRIS_313-10836,C0,329,329069.0,1000.209726443769,0.882067212428482
IRIS_313-10849,C4,350,302125.0,863.2142857142857,0.8098440040081415
IRIS_313-10850,C3,26,18195.3,699.8192307692308,0.04877237767854145
IRIS_313-10852,C4,297,329245.0,1108.5690235690236,0.8825389792293274
IRIS_313-10853,C5,125,361831.0,2894.648,0.9698855302085886
IRIS_313-10857,C6,291,340539.0,1170.2371134020618,0.9128124692790351
IRIS_313-10859,C6,338,295187.0,873.3343195266273,0.7912467422793588
IRIS_313-10861,C1,302,330897.0,1095.6854304635763,0.8869671539736268
IRIS_313-10862,C5,127,360483.0,2838.448818897638,0.9662722253930223
IRIS_313-10865,C5,208,327943.0,1576.6490384615386,0.8790489771003457
IRIS_313-10866,C5,117,362699.0,3099.991452991453,0.9722121982945765
IRIS_313-10867,C5,126,362841.0,2879.690476190476,0.9725928283270767
IRIS_313-10869,C1,277,332317.0,1199.7003610108304,0.8907734542986299
IRIS_313-10870,C5,141,360058.0,2553.6028368794327,0.965133015788708
IRIS_313-10871,C1,347,275860.0,794.985590778098,0.7394408504615173
IRIS_313-10872,C5,134,153841.0,1148.0671641791046,0.4123697523230997
IRIS_313-10873,C4,337,316510.0,939.1988130563798,0.8484028984976976
IRIS_313-10875,C1,303,318713.0,1051.8580858085809,0.8543080249878255
IRIS_313-10876,C1,312,314164.0,1006.9358974358975,0.8421144614818825
IRIS_313-10877,C1,289,336554.0,1164.546712802768,0.9021307039303469
IRIS_313-10878,C1,263,338303.0,1286.3231939163497,0.9068188865137485
IRIS_313-10879,C1,334,297629.0,891.1047904191616,0.7977925066410895
IRIS_313-10883,C5,246,343075.0,1394.6138211382113,0.9196102000003082
IRIS_313-10888,C5,135,362364.0,2684.177777777778,0.9713142330770581
IRIS_313-10893,C5,141,359906.0,2552.5248226950353,0.9647255808243415
IRIS_313-10894,C1,333,321177.0,964.4954954954954,0.8609127601996619
IRIS_313-10895,C5,123,361743.0,2941.0,0.9696496468081659
IRIS_313-10897,C6,365,315043.0,863.1315068493151,0.8444706149929232
IRIS_313-11041,C0,294,334047.0,1136.2142857142858,0.8954107075114858
IRIS_313-11152,C2,296,331436.0,1119.7162162162163,0.888411939801216
