sample,cluster,height_index_z
CX151,5,1.026346403506334
IRIS_313-10148,2,-1.0056479070567343
IRIS_313-10150,4,0.6244434372340151
IRIS_313-10534,4,0.10839205726440318
IRIS_313-10543,4,-0.5014027641527478
IRIS_313-10544,0,0.16347719117789142
IRIS_313-10608,1,0.13648521255873403
IRIS_313-10666,6,0.011452305611455875
IRIS_313-10671,6,0.6130398171979977
IRIS_313-10675,6,0.23847694362333194
IRIS_313-10676,6,0.4560027412069451
IRIS_313-10754,2,-2.748520527811807
IRIS_313-10833,0,0.28913881437606737
IRIS_313-10834,5,0.5195227802365253
IRIS_313-10835,0,1.017338076432048
IRIS_313-10836,0,0.3933833328974293
IRIS_313-10849,4,0.332915710524918
IRIS_313-10852,4,0.8995461023087216
IRIS_313-10853,5,0.8863100643486054
IRIS_313-10857,6,0.9572483437142031
IRIS_313-10859,6,0.012078924961968138
IRIS_313-10861,1,1.1254550414545905
IRIS_313-10862,5,0.38006487148564116
IRIS_313-10865,5,0.5119514620021745
IRIS_313-10866,5,0.735366144787318
IRIS_313-10867,5,0.19968879734470577
IRIS_313-10869,1,0.9191171435244372
IRIS_313-10870,5,-0.3453492657404587
IRIS_313-10871,1,0.7602101198598409
IRIS_313-10872,5,0.7601815578747393
IRIS_313-10873,4,-0.08879800957345957
IRIS_313-10875,1,0.9155272841986305
IRIS_313-10876,1,1.0874667905554665
IRIS_313-10877,1,0.3333613027882448
IRIS_313-10878,1,0.5097650743834231
IRIS_313-10879,1,0.035434625138902845
IRIS_313-10883,5,-0.7226954745513949
IRIS_313-10888,5,0.05699790109467043
IRIS_313-10893,5,-0.20219536275263406
IRIS_313-10894,1,0.730326627277778
IRIS_313-10895,5,1.417066503640065
IRIS_313-10897,6,0.0929120063937387
IRIS_313-11041,0,-0.43997600798843867
IRIS_313-11152,2,0.608386990483016
IRIS_313-11155,5,-0.3881479628681397
IRIS_313-11156,5,-0.1864050325766261
IRIS_313-11161,5,-0.11922174031400351
IRIS_313-11164,4,0.5022278951242205
IRIS_313-11165,4,-1.016041312076316
IRIS_313-11166,4,-0.4788136587463103
IRIS_313-11167,0,0.41268357466734584
IRIS_313-11168,4,0.4030323067020291
IRIS_313-11169,4,0.25082979098459385
IRIS_313-11170,4,0.15531292144114017
IRIS_313-11171,4,0.43452771052474615
IRIS_313-11172,1,-0.037606576583954845
IRIS_313-11173,4,0.7587122774839448
IRIS_313-11174,4,-0.8760676984422049
IRIS_313-11175,1,-0.6598655610063164
IRIS_313-11197,2,0.02001403171981215
IRIS_313-11198,5,-0.19557747449431997
IRIS_313-11200,2,-2.07028255527761
IRIS_313-11245,2,-2.044009723950404
IRIS_313-11247,2,-0.6882151343876232
IRIS_313-11255,6,0.11057950505269391
IRIS_313-11257,3,0.3098455410989104
IRIS_313-11265,4,1.0854732090418309
IRIS_313-11274,4,0.10671190433395229
IRIS_313-11275,6,0.3529707709275415
IRIS_313-11276,6,0.7753908950143822
IRIS_313-11277,4,0.2481527154004065
IRIS_313-11281,2,0.5994446515086709
IRIS_313-11283,6,0.07862464982417788
IRIS_313-11291,1,-0.15634757399589871
IRIS_313-11298,1,0.8143464073792747
IRIS_313-11299,6,-0.11567346737582945
IRIS_313-11302,6,-0.6564163850679824
IRIS_313-11303,6,0.03452983291918797
IRIS_313-11304,6,0.483502854377916
IRIS_313-11306,6,-0.027847591624908487
IRIS_313-11309,6,0.6499090362170952
IRIS_313-11348,4,-0.06695622056658795
IRIS_313-11355,2,-2.0410742075685313
IRIS_313-11358,0,-1.0387901250774894
IRIS_313-11371,4,-0.1670794092520044
IRIS_313-11374,4,0.1385641905217373
IRIS_313-11408,0,-0.8569587846636813
IRIS_313-11414,0,0.537892715536004
IRIS_313-11433,2,-1.9649406175973059
IRIS_313-11445,0,-0.6237389671943668
IRIS_313-11447,6,0.21461210489107457
IRIS_313-11452,4,0.6449316976854634
IRIS_313-11453,0,0.08337608224940667
IRIS_313-11454,4,1.0561558329520782
IRIS_313-11455,4,0.5696494884639434
IRIS_313-11458,4,-0.974513598190652
IRIS_313-11462,1,0.1462621500433374
IRIS_313-11476,4,-1.4467959559072279
IRIS_313-11477,4,-0.07863783083035865
IRIS_313-11479,5,0.6574811994051084
IRIS_313-11489,1,0.4768761227640741
IRIS_313-11491,0,-0.05767444882537129
IRIS_313-11493,6,-1.3654862173600304
IRIS_313-11494,5,0.11247468779492133
IRIS_313-11596,2,-1.3290148774673205
IRIS_313-11597,0,0.6045570157670498
IRIS_313-11599,0,0.7053476902609517
IRIS_313-11600,0,0.8167417564531857
IRIS_313-11602,4,0.49316822135254434
IRIS_313-11604,4,-0.026771589388310972
IRIS_313-11616,0,-0.16981628466460938
IRIS_313-11618,1,0.1353029285186649
IRIS_313-11620,1,-0.00913719783342479
IRIS_313-11621,2,0.2770176737120315
IRIS_313-11636,4,-0.2038543407510971
IRIS_313-11638,0,-0.42774368131087104
IRIS_313-11639,2,-0.75164964789945
IRIS_313-11641,0,-0.5083319632337618
IRIS_313-11646,0,0.32205878932127074
IRIS_313-11647,0,0.25559680736106993
IRIS_313-11648,0,-0.10631485024113678
IRIS_313-11712,4,-0.10143358413961714
IRIS_313-11737,1,-0.0807648315790723
IRIS_313-11738,0,0.3917813613217063
