"sample","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9"
"SATABHAMA",0.0785764,9.99548e-05,9.99548e-05,0.303118,9.99548e-05,9.99548e-05,9.99548e-05,0.600929,0.0168768
"SERATOES",0.00751734,0.950673,9.9955e-05,9.9955e-05,9.9955e-05,9.9955e-05,0.0172341,9.9955e-05,0.0240757
"SERETY",0.962152,9.9973e-05,9.9973e-05,0.00347194,0.00151144,9.9973e-05,0.0161111,0.0144505,0.00200275
"SHAKU",9.99554e-05,9.99554e-05,9.99554e-05,0.101225,0.12449,9.99554e-05,9.99554e-05,0.677843,0.0959426
"SR1-3-1",0.00655386,9.9973e-05,9.9973e-05,9.9973e-05,0.0284487,0.0801237,0.0187502,0.856968,0.00885564
"SUWEON",0.0437732,9.99555e-05,9.99555e-05,9.99555e-05,9.99555e-05,9.99555e-05,0.0123927,0.618819,0.324515
"SWARNA",9.9973e-05,0.0318334,0.310401,0.466072,9.9973e-05,0.0885992,0.0622559,0.0405385,9.9973e-05
"VANAPRAVA",0.00543184,0.993869,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05,9.99368e-05
"VANDANA",9.9946e-05,0.344241,9.9946e-05,0.626748,9.9946e-05,9.9946e-05,9.9946e-05,9.9946e-05,0.0284106
"Wayrarem",9.9955e-05,9.9955e-05,0.0746795,0.884935,0.0191331,9.9955e-05,9.9955e-05,9.9955e-05,0.0207529
