panel,target,n_correct_auto,acc_auto_folds,folds_auto,acc_primary_folds,folds_primary,label_sizes
Set1,kmeans_K6,70,0.4794520547945205,5,0.4383561643835616,2,20/20/21/22/31/32
Set1,kmeans_K8,70,0.4794520547945205,5,0.4041095890410959,2,8/9/12/15/20/26/28/28
Set2,kmeans_K8,56,0.38095238095238093,5,0.38095238095238093,5,7/9/14/15/19/25/27/31
Set2,kmeans_K10,44,0.29931972789115646,5,0.29931972789115646,5,7/9/10/13/15/15/17/17/19/25
