panel,cluster_a,cluster_b,n_a,n_b,fst,n_loci_used
Set2,0,1,8,21,0.27552,2772
Set2,0,2,8,23,0.21408,2741
Set2,0,3,8,15,0.30477,2605
Set2,0,4,8,9,0.38842,2397
Set2,0,5,8,13,0.31826,2535
Set2,0,6,8,20,0.1399,2518
Set2,0,7,8,28,0.11628,2456
Set2,0,8,8,10,0.27286,2251
Set2,1,2,21,23,0.13021,2712
Set2,1,3,21,15,0.1489,2676
Set2,1,4,21,9,0.23017,2790
Set2,1,5,21,13,0.15786,2665
Set2,1,6,21,20,0.19789,2837
Set2,1,7,21,28,0.23304,2921
Set2,1,8,21,10,0.14757,2755
Set2,2,3,23,15,0.07006,2642
Set2,2,4,23,9,0.24891,2844
Set2,2,5,23,13,0.06052,2580
Set2,2,6,23,20,0.13511,2818
Set2,2,7,23,28,0.16434,2871
Set2,2,8,23,10,0.22888,2872
Set2,3,4,15,9,0.29927,2749
Set2,3,5,15,13,0.08298,2483
Set2,3,6,15,20,0.17296,2780
Set2,3,7,15,28,0.16426,2850
Set2,3,8,15,10,0.27769,2797
Set2,4,5,9,13,0.32545,2705
Set2,4,6,9,20,0.22323,2744
Set2,4,7,9,28,0.16668,2765
Set2,4,8,9,10,0.22142,2537
Set2,5,6,13,20,0.18622,2758
Set2,5,7,13,28,0.15961,2833
Set2,5,8,13,10,0.29567,2787
Set2,6,7,20,28,0.09449,2833
Set2,6,8,20,10,0.16301,2752
Set2,7,8,28,10,0.12276,2566
