panel,accession,in_core,core_rank
Set1,IRIS_313-11170,True,1
Set1,IRIS_313-11245,True,2
Set1,IRIS_313-10872,True,3
Set1,IRIS_313-11302,True,4
Set1,IRIS_313-10859,True,5
Set1,IRIS_313-9351,True,6
Set1,IRIS_313-11616,True,7
Set1,IRIS_313-9400,True,8
Set1,IRIS_313-10879,True,9
Set1,IRIS_313-11299,True,10
Set1,IRIS_313-11596,True,11
Set1,IRIS_313-11176,True,12
Set1,IRIS_313-11275,True,13
Set1,IRIS_313-11453,True,14
Set1,IRIS_313-11476,True,15
Set1,IRIS_313-12052,False,16
Set1,IRIS_313-8458,False,17
Set1,IRIS_313-11358,False,18
Set1,IRIS_313-11257,False,19
Set1,IRIS_313-11281,False,20
Set1,IRIS_313-10675,False,21
Set1,IRIS_313-11489,False,22
Set1,IRIS_313-9522,False,23
Set1,IRIS_313-9604,False,24
Set1,IRIS_313-11452,False,25
Set1,IRIS_313-11165,False,26
Set1,IRIS_313-11638,False,27
Set1,IRIS_313-10897,False,28
Set1,IRIS_313-11290,False,29
Set1,IRIS_313-11283,False,30
Set1,IRIS_313-9023,False,31
Set1,IRIS_313-10544,False,32
Set1,IRIS_313-10894,False,33
Set1,IRIS_313-11276,False,34
Set1,IRIS_313-11647,False,35
Set1,IRIS_313-10883,False,36
Set1,IRIS_313-11639,False,37
Set1,IRIS_313-11277,False,38
Set1,IRIS_313-11737,False,39
Set1,IRIS_313-11937,False,40
Set1,IRIS_313-11621,False,41
Set1,IRIS_313-10873,False,42
Set1,IRIS_313-11167,False,43
Set1,IRIS_313-8621,False,44
Set1,IRIS_313-10850,False,45
Set1,IRIS_313-10676,False,46
Set1,IRIS_313-11918,False,47
Set1,IRIS_313-10531,False,48
Set1,IRIS_313-11152,False,49
Set1,IRIS_313-11641,False,50
Set1,IRIS_313-11274,False,51
Set1,IRIS_313-11599,False,52
Set1,IRIS_313-11602,False,53
Set1,IRIS_313-10543,False,54
Set1,IRIS_313-11255,False,55
Set1,IRIS_313-11414,False,56
Set1,IRIS_313-9611,False,57
Set1,IRIS_313-11155,False,58
Set1,IRIS_313-11041,False,59
Set1,IRIS_313-11309,False,60
Set1,IRIS_313-10833,False,61
Set1,IRIS_313-10869,False,62
Set1,IRIS_313-11355,False,63
Set1,IRIS_313-10835,False,64
Set1,IRIS_313-11618,False,65
Set1,IRIS_313-10666,False,66
Set1,IRIS_313-11648,False,67
Set1,IRIS_313-11408,False,68
Set1,IRIS_313-11197,False,69
Set1,IRIS_313-11646,False,70
Set1,IRIS_313-11604,False,71
Set1,IRIS_313-11620,False,72
Set1,IRIS_313-11169,False,73
Set1,IRIS_313-11171,False,74
Set1,IRIS_313-11454,False,75
Set1,IRIS_313-11166,False,76
Set1,IRIS_313-11493,False,77
Set1,IRIS_313-11374,False,78
Set1,IRIS_313-9605,False,79
Set1,IRIS_313-11712,False,80
Set1,IRIS_313-11491,False,81
Set1,IRIS_313-11477,False,82
Set1,IRIS_313-10150,False,83
Set1,IRIS_313-11306,False,84
Set1,IRIS_313-11479,False,85
Set1,IRIS_313-8924,False,86
Set1,IRIS_313-11597,False,87
Set1,IRIS_313-11433,False,88
Set1,IRIS_313-8982,False,89
Set1,IRIS_313-11742,False,90
Set1,IRIS_313-8754,False,91
Set1,IRIS_313-10671,False,92
Set1,IRIS_313-11348,False,93
Set1,IRIS_313-10754,False,94
Set1,IRIS_313-10857,False,95
Set1,IRIS_313-11494,False,96
Set1,IRIS_313-11265,False,97
Set1,IRIS_313-11172,False,98
Set1,IRIS_313-11828,False,99
Set1,IRIS_313-10861,False,100
Set1,IRIS_313-11173,False,101
Set1,IRIS_313-10534,False,102
Set1,IRIS_313-11917,False,103
Set1,IRIS_313-10849,False,104
Set1,IRIS_313-11200,False,105
Set1,IRIS_313-11963,False,106
Set1,IRIS_313-11919,False,107
Set1,IRIS_313-11455,False,108
Set1,IRIS_313-11462,False,109
Set1,IRIS_313-10608,False,110
Set1,IRIS_313-11174,False,111
Set1,IRIS_313-10871,False,112
Set1,IRIS_313-11445,False,113
Set1,IRIS_313-11291,False,114
Set1,IRIS_313-11738,False,115
Set1,CX151,False,116
Set1,IRIS_313-11303,False,117
Set1,IRIS_313-11447,False,118
Set1,IRIS_313-8731,False,119
Set1,IRIS_313-11247,False,120
Set1,IRIS_313-10834,False,121
Set1,IRIS_313-11175,False,122
Set1,IRIS_313-11371,False,123
Set1,IRIS_313-10853,False,124
Set1,IRIS_313-10852,False,125
Set1,IRIS_313-11168,False,126
Set1,IRIS_313-11600,False,127
Set1,IRIS_313-10866,False,128
Set1,IRIS_313-10875,False,129
Set1,IRIS_313-10888,False,130
Set1,IRIS_313-11164,False,131
Set1,IRIS_313-10876,False,132
Set1,IRIS_313-11156,False,133
Set1,IRIS_313-10870,False,134
Set1,IRIS_313-10878,False,135
Set1,IRIS_313-11161,False,136
Set1,IRIS_313-10895,False,137
Set1,IRIS_313-11913,False,138
Set1,IRIS_313-11304,False,139
Set1,IRIS_313-10836,False,140
Set1,IRIS_313-10148,False,141
Set1,IRIS_313-11198,False,142
Set1,IRIS_313-10893,False,143
Set1,IRIS_313-10867,False,144
Set1,IRIS_313-10865,False,145
Set1,IRIS_313-11458,False,146
Set1,IRIS_313-11636,False,147
Set1,IRIS_313-10877,False,148
Set1,IRIS_313-11298,False,149
Set1,IRIS_313-10862,False,150
