cluster,n,mean_f_roh,sd_f_roh,mean_n_roh
C0,31,0.8460866497481286,0.12315145605124644,308.8709677419355
C1,20,0.836142724736067,0.08866190259063705,313.5
C2,20,0.8817672652408989,0.031212866642876928,301.7
C3,5,0.08016604583093849,0.08139054203492901,50.4
C4,33,0.7689166094934731,0.1991033591006868,318.6060606060606
C5,20,0.9308340950959908,0.12483978721399076,137.4
C6,21,0.8183030916422296,0.2087520030198355,278.6190476190476
