"sample_a","sample_b","kinship"
"281785","281785",1.24178430065727
"282803","281785",0.442190811057438
"299554","281785",-0.133273634986187
"356457","281785",-0.102241827796278
"376579","281785",0.179107823872532
"376851","281785",0.164346551605011
"377448","281785",-0.258158460183704
"377705","281785",-0.0907154641628733
"384190","281785",0.0258696597934574
"426049","281785",-0.104160611790411
"438644","281785",0.465361732595887
"ADAYSEL","281785",-0.303447263236812
"AbhayaXDagadesi","281785",-0.0177772759206056
"ABHISEK","281785",0.307283931622177
"ABOR-A-1","281785",-0.165810678485019
"ANJALI","281785",0.391345967308405
"Annada","281785",0.0176158735876231
"Apo","281785",-0.210546865346299
"ARC10319","281785",-0.262769551338569
"ARC12071","281785",0.245790097582332
"ARNAPURNA","281785",0.197951990954129
"ASD16","281785",0.293998845926578
"AUS257","281785",0.230731763485999
"BAKAL","281785",-0.380439521531366
"BAM1057","281785",-0.354044508873916
"BAM1098","281785",-0.414179553920436
"BAM1659","281785",0.300915332923901
"BAM1689","281785",-0.380600407590682
"BAM1708","281785",-0.355432497351605
"BAM1812","281785",-0.260603269469004
"BAM2096","281785",0.201135672796533
"BAM2166","281785",0.0293988842326487
"BAM247","281785",-0.0861523691075142
"BAM2574","281785",0.182794863596042
"BAM2680","281785",0.364831901705208
"BAM3154","281785",-0.198236536063416
"BAM3181","281785",0.167042330561098
"BAM326","281785",0.227396940302006
"BAM328","281785",-0.262243762568316
"BAM350","281785",-0.320130396584758
"BAM3690","281785",-0.112127422073893
"BAM4009","281785",-0.375238578238397
"BAM4054","281785",0.327084421904776
"BAM4138","281785",0.03538999550996
"BAM4168","281785",0.131683086247152
"BAM4234","281785",0.360817812267564
"BAM4254","281785",0.366950007266142
"BAM4477","281785",-0.0934328856585673
"BAM4496","281785",-0.236804091206284
"BAM4510","281785",0.016112296653787
"BAM4521","281785",0.0529718444940577
"BAM4534","281785",-0.387043299620646
"BAM4797","281785",0.123579901496818
"BAM491","281785",-0.26250158688068
"BAM4928","281785",0.0603738473419441
"BAM5110","281785",0.291385147800984
"BAM56","281785",0.0678832648789434
"BAM5779","281785",0.110938919811305
"BAM5850","281785",-0.385825296857283
"BAM6921","281785",-0.184210808612703
"BAM712","281785",0.0121354746121971
"BAM742","281785",0.00108404139199802
"BAM7429","281785",-0.258452642881822
"BAM7449","281785",-0.374198789414088
"BAM747","281785",0.0288193720477922
"BAM759","281785",-0.252049367445648
"BAM766","281785",0.00917005930114066
"BAM807","281785",0.112638086242095
"BAM811","281785",-0.209620340028592
"BAM812","281785",0.231630104112882
"BAM819","281785",0.462550622712606
"BAM8296","281785",-0.134358169583437
"BAM8305","281785",0.208305176501494
"BAM8315","281785",0.0583910055988217
"BAM8364","281785",0.29832396641513
"BAMAWPYAN","281785",0.0341312457061753
"BENAMURI","281785",0.188201876194528
"BLACKGORA","281785",0.289568480800445
"CGR1656","281785",-0.260085866938569
"CGR1679","281785",0.192813439732228
"CGR2012","281785",0.171818517004623
"CO18","281785",0.249607709424641
"CRDHAN-204","281785",0.252558191240628
"CR143-2-2","281785",-0.229880432827551
"CR262-4","281785",-0.221498637574269
"CROSSA","281785",0.183041362820832
"DULAR","281785",-0.388325984526702
"EYPO","281785",-0.18907029040666
"EYPO-2","281785",0.290392324219339
"FULKATI","281785",-0.388164932583124
"Ghanteswari","281785",-0.196224784273701
"GHATIKAMMANANGARHAR","281785",0.428537310207808
"GotrabiDhan","281785",-0.0979072601309429
"GP-145-37","281785",0.196229554153564
"GP-145-51","281785",-0.25327329114089
"HARBHOONDI","281785",0.21025594311778
"HongZuiEr","281785",-0.183165753534135
"IndrabaruniDhan","281785",-0.149542037222162
"IR74371-54-1-1","281785",-0.213804815724646
"IR77298-14-1-2-10","281785",-0.166461714582031
"IR77298-5-6-18","281785",-0.0451120322633052
"IR83383-B-B-129-4","281785",0.0026330696728582
"IR83388-B-B108-3","281785",-0.1051799628676
"IR87707-445-B-B","281785",-0.0115369672748575
"IR87707-446-B-B","281785",-0.0683934284671804
"IRROEPYO","281785",0.238227197633556
"KALINGA-1","281785",-0.0844576376906459
"KANGRO","281785",0.244516556829583
"KHAODAWTAI","281785",0.262041896085896
"MANDRIRAVINA","281785",0.24689844059506
"MAUDAMANI","281785",0.301278219197501
"MOROBEREKAN","281785",-0.311309936729908
"MTU1010","281785",-0.0392351919271434
"MTU9","281785",0.24880126775835
"NERICA-L-26","281785",-0.245896617440483
"NERICA-L-42","281785",-0.252126838639905
"NERICA-L-44","281785",-0.117981362143999
"PARIJAT","281785",-0.0957817918523334
"Patchaiperumal","281785",-0.220754262233522
"PEH-KUH-TSAO-TU","281785",0.253782928913868
"PMK-2","281785",-0.163071294022535
"PRASAD-1","281785",0.342782291341235
"PUSASUGANDH5","281785",-0.151572920892722
"PUSA1121","281785",-0.298730022181495
"Pusa1121-SN12","281785",-0.276016475340335
"PUSA44","281785",-0.0881255757263296
"PUSABASMATI6","281785",0.228647687244305
"PUSASUGANDH2","281785",0.272719564135221
"RASI","281785",-0.167509330624165
"RKVY-104","281785",-0.339613294640877
"RKVY-143","281785",-0.233490936970819
"RKVY-28","281785",-0.401554777285413
"R-RF-44","281785",-0.124577523908057
