Panel,Platform,n,SNPs (QC),SNPs (pruned),K (elbow),K (global-min),Mean PIC,Mean Ho,Mean He,Mean F,SNPs (missingness-only),Genome pi (no-MAF),Genome theta_W (no-MAF),Tajima's D (no-MAF),Mean F_ROH,Selfing rate s
Set1,WGS 1.01M,150,502675,24370,7,9,0.2568,0.0233,0.3152,0.9256,880050,0.000458740913725,0.0003377347119963,1.137864748121035,0.814420074070515,0.9613871436346187
Set2,50K array,147,31565,2942,9,11,0.2561,0.0671,0.3145,0.7866,47305,3.246205143918408e-05,1.984493783880349e-05,1.9830715950716808,0.6733564330090435,0.8805729760569028
