year,ne_median,ne_lo95,ne_hi95
1.8837116697663692,2801.231491492075,1308.8073285315938,3634.25219703421
5.369465963021491,2806.486736245446,2334.500616065942,3672.4212002875865
11.857780500323528,2815.0568219363954,2441.489823106339,3672.4212002875865
17.863916649051507,2815.46573147052,2441.489823106339,3672.4212002875865
18.36334186239149,2818.5492870428893,2505.89877740155,3672.4212002875865
20.337728468388327,2818.686899030596,2712.266276303538,3672.4212002875865
40.68399510007915,2823.3099887154376,2763.931724829527,3672.4212002875865
79.00670940187163,2818.686899030596,2610.851102656512,3672.4212002875865
91.99331880728889,2818.5492870428893,989.4817961088224,3672.4212002875865
118.36704057702428,2815.46573147052,712.60409293899,3236.25551790278
119.34059477105517,2818.5492870428893,712.60409293899,5327.379985068397
119.6627185867661,2818.686899030596,712.60409293899,5327.379985068397
129.6016250059537,2818.5492870428893,712.60409293899,5327.379985068397
132.68624363622058,2818.5492870428893,878.5283915638545,5327.379985068397
148.82248015525363,2818.686899030596,1297.8890513275842,5327.379985068397
150.57653677595266,2818.5492870428893,1117.891543056358,5327.379985068397
152.7697671746561,2815.46573147052,1117.891543056358,5327.379985068397
153.00969736707495,2815.46573147052,525.924877608396,5327.379985068397
158.944887409562,2815.0568219363954,525.924877608396,5327.379985068397
159.00029846113569,2815.0568219363954,744.140703211474,5327.379985068397
163.1873578607017,2806.486736245446,695.7266650974791,5327.379985068397
163.20310146954128,2794.650796492977,695.7266650974791,5327.379985068397
166.67830369588296,2785.5513907786603,603.7704926204193,5327.379985068397
167.98590885327184,2773.5653118602554,603.7704926204193,5327.379985068397
170.0241424335119,2443.7267657978155,603.7704926204193,5327.379985068397
171.10012783133715,2308.816535186408,603.7704926204193,5327.379985068397
173.204857083595,2229.4411553912023,603.7704926204193,5327.379985068397
180.8460750663517,2016.2141850313249,603.7704926204193,5327.379985068397
183.55142420584312,2229.4411553912023,603.7704926204193,7176.650635947701
187.0603312403219,2308.816535186408,603.7704926204193,7176.650635947701
188.39758017038275,2443.7267657978155,603.7704926204193,7176.650635947701
