panel,features,target,cv_folds,n_repeats,acc_mean,acc_sd,acc_p2.5,acc_p97.5
Set1,full_204,admixture_elbowK,2,20,0.47294520547945196,0.029935998204566654,0.4246575342465753,0.5172945205479452
Set1,height_only,admixture_elbowK,2,20,0.28219178082191787,0.032780440636499666,0.2357876712328767,0.3356164383561644
Set1,nonsize_colour_nir,admixture_elbowK,2,20,0.42260273972602735,0.028029827909382594,0.37996575342465755,0.46969178082191776
Set1,full_204,external_3KRGP_subpop,5,20,0.5798449612403098,0.02005751126920086,0.5463178294573643,0.6127906976744185
Set2,full_204,admixture_elbowK,5,20,0.3040816326530612,0.022947411815488466,0.272108843537415,0.3472789115646258
Set2,height_only,admixture_elbowK,5,20,0.24183673469387754,0.020760181603424743,0.2066326530612245,0.2831632653061224
Set2,nonsize_colour_nir,admixture_elbowK,5,20,0.3119047619047619,0.02750246569041565,0.26853741496598643,0.3469387755102041
