sample,F,cluster,s_hat
281785,0.8419,C7,0.9141647212117923
282803,0.8057,C5,0.892396300603644
299554,0.7456,C3,0.854262144821265
356457,0.8128,C2,0.8967343336275375
376579,0.8499,C6,0.9188604789448078
376851,0.8482,C6,0.9178660318147387
377448,0.7974,C6,0.8872816290196951
377705,0.8112,C2,0.8957597173144877
384190,0.8174,C8,0.8995267965225047
426049,0.813,C2,0.8968560397131825
438644,0.8106,C5,0.8953937921131117
ADAYSEL,0.8015,C1,0.8898140438523453
AbhayaXDagadesi,0.8054,C5,0.8922122521324913
ABHISEK,0.8492,C7,0.918451222150119
ABOR-A-1,0.8158,C2,0.8985571098138562
ANJALI,0.8521,C7,0.9201447006101182
Annada,0.8624,C4,0.9261168384879725
Apo,0.7973,C3,0.8872197184665889
ARC10319,0.808,C2,0.8938053097345133
ARC12071,0.8411,C0,0.9136929009831078
ARNAPURNA,0.8505,C6,0.9192110240475547
ASD16,0.8472,C7,0.9172802078822001
AUS257,0.8163,C7,0.8988603204316468
BAKAL,0.7772,C1,0.8746342561332433
BAM1057,0.7787,C1,0.8755832911677067
BAM1098,0.7897,C1,0.8824942727831481
BAM1659,0.8347,C0,0.9099035264620919
BAM1689,0.7881,C1,0.8814943235836922
BAM1708,0.7809,C1,0.8769723173676232
BAM1812,0.81,C6,0.8950276243093923
BAM2096,0.853,C6,0.9206691851052348
BAM2166,0.823,C8,0.9029072956664838
BAM247,0.8152,C2,0.8981930365799913
BAM2574,0.8496,C6,0.9186851211072664
BAM2680,0.8451,C7,0.9160479106823478
BAM3154,0.6615,C3,0.7962684321396328
BAM3181,0.8441,C6,0.9154601160457675
BAM326,0.8483,C6,0.9179245793431803
BAM328,0.8115,C6,0.8959425890146288
BAM350,-0.09664,C1,-0.21395678356358486
BAM3690,0.7949,C2,0.8857317956432113
BAM4009,0.7764,C1,0.8741274487727989
BAM4054,0.8585,C7,0.9238633306429916
BAM4138,0.814,C8,0.8974641675854464
BAM4168,0.8302,C8,0.9072232542891487
BAM4234,0.852,C7,0.920086393088553
BAM4254,0.8475,C7,0.9174560216508796
BAM4477,0.8155,C2,0.898375103277334
BAM4496,0.8,C2,0.888888888888889
BAM4510,0.8129,C8,0.8967951900270285
BAM4521,0.8172,C8,0.899405679066696
BAM4534,0.7764,C1,0.8741274487727989
BAM4797,0.85,C6,0.9189189189189189
BAM491,0.7945,C1,0.8854834215658958
BAM4928,0.8273,C8,0.905488972801401
BAM5110,0.8525,C7,0.9203778677462888
BAM56,0.8113,C8,0.8958206812786396
BAM5779,0.8112,C4,0.8957597173144877
BAM5850,0.7739,C1,0.872540729466148
BAM6921,0.8044,C3,0.8915983152294391
BAM712,0.8622,C4,0.9260015035978949
BAM742,0.8583,C4,0.9237475111661196
BAM7429,0.8245,C6,0.9038092628117292
BAM7449,0.7764,C1,0.8741274487727989
