"sample","dapc_cluster"
"281785","D8"
"282803","D4"
"299554","D4"
"356457","D4"
"376579","D7"
"376851","D7"
"377448","D1"
"377705","D4"
"384190","D0"
"426049","D4"
"438644","D4"
"ADAYSEL","D3"
"AbhayaXDagadesi","D4"
"ABHISEK","D8"
"ABOR-A-1","D4"
"ANJALI","D8"
"Annada","D2"
"Apo","D4"
"ARC10319","D1"
"ARC12071","D6"
"ARNAPURNA","D7"
"ASD16","D8"
"AUS257","D8"
"BAKAL","D3"
"BAM1057","D3"
"BAM1098","D3"
"BAM1659","D7"
"BAM1689","D3"
"BAM1708","D3"
"BAM1812","D1"
"BAM2096","D7"
"BAM2166","D0"
"BAM247","D4"
"BAM2574","D7"
"BAM2680","D8"
"BAM3154","D1"
"BAM3181","D7"
"BAM326","D7"
"BAM328","D1"
"BAM350","D1"
"BAM3690","D4"
"BAM4009","D3"
"BAM4054","D8"
"BAM4138","D0"
"BAM4168","D0"
"BAM4234","D8"
"BAM4254","D8"
"BAM4477","D4"
"BAM4496","D1"
"BAM4510","D0"
"BAM4521","D0"
"BAM4534","D3"
"BAM4797","D7"
"BAM491","D1"
"BAM4928","D0"
"BAM5110","D8"
"BAM56","D0"
"BAM5779","D2"
"BAM5850","D3"
"BAM6921","D4"
"BAM712","D2"
"BAM742","D2"
"BAM7429","D1"
"BAM7449","D3"
"BAM747","D2"
"BAM759","D3"
"BAM766","D2"
"BAM807","D2"
"BAM811","D4"
"BAM812","D8"
"BAM819","D8"
"BAM8296","D4"
"BAM8305","D4"
"BAM8315","D2"
"BAM8364","D8"
"BAMAWPYAN","D0"
"BENAMURI","D7"
"BLACKGORA","D8"
"CGR1656","D1"
"CGR1679","D7"
"CGR2012","D7"
"CO18","D6"
"CRDHAN-204","D8"
"CR143-2-2","D4"
"CR262-4","D4"
"CROSSA","D7"
"DULAR","D3"
"EYPO","D1"
"EYPO-2","D8"
"FULKATI","D3"
"Ghanteswari","D4"
"GHATIKAMMANANGARHAR","D8"
"GotrabiDhan","D4"
"GP-145-37","D7"
"GP-145-51","D1"
"HARBHOONDI","D8"
"HongZuiEr","D4"
"IndrabaruniDhan","D4"
"IR74371-54-1-1","D4"
"IR77298-14-1-2-10","D4"
"IR77298-5-6-18","D4"
"IR83383-B-B-129-4","D4"
"IR83388-B-B108-3","D4"
"IR87707-445-B-B","D4"
"IR87707-446-B-B","D4"
"IRROEPYO","D0"
"KALINGA-1","D4"
"KANGRO","D6"
"KHAODAWTAI","D8"
"MANDRIRAVINA","D6"
"MAUDAMANI","D8"
"MOROBEREKAN","D2"
"MTU1010","D4"
"MTU9","D6"
"NERICA-L-26","D4"
"NERICA-L-42","D4"
"NERICA-L-44","D4"
"PARIJAT","D4"
"Patchaiperumal","D1"
"PEH-KUH-TSAO-TU","D6"
"PMK-2","D4"
"PRASAD-1","D8"
"PUSASUGANDH5","D4"
"PUSA1121","D5"
"Pusa1121-SN12","D5"
"PUSA44","D4"
"PUSABASMATI6","D8"
"PUSASUGANDH2","D8"
"RASI","D4"
"RKVY-104","D3"
"RKVY-143","D1"
"RKVY-28","D3"
"R-RF-44","D4"
"RRF-78","D4"
"Sadabahar","D7"
"SAFRI-17","D8"
"SAHBHAGIDHAN","D4"
"SATABHAMA","D8"
"SERATOES","D3"
"SERETY","D6"
"SHAKU","D8"
"SR1-3-1","D8"
"SUWEON","D8"
"SWARNA","D4"
"VANAPRAVA","D3"
"VANDANA","D3"
"Wayrarem","D4"
