panel,core_size,pct_of_panel,pct_diversity_retained
Set1,8,5.3,105.9
Set1,15,10.0,101.5
Set1,22,14.7,100.0
Set1,30,20.0,99.2
Set1,38,25.3,99.3
Set1,45,30.0,99.2
Set1,60,40.0,98.4
Set1,75,50.0,98.5
