"sample","PC1","PC2","PC3","PC4","PC5","PC6"
"281785",-0.0800573421823021,-0.0616339917702408,-0.0179462086715297,0.0850877278743534,0.0931126138706595,-0.0672082628318061
"282803",0.0841843665894839,-0.0669426320119347,-0.027763066110009,0.0313181868802669,0.111843259759154,-0.0473358563994267
"299554",0.0800497615297907,-0.0524100345922898,-0.0680277856875454,0.0598183810746218,-0.0655526108963402,0.0748198683293528
"356457",0.0785214196573172,-0.0632693008834542,-0.00668923794410358,-0.0322123645211906,0.135883490329183,-0.0365021872758198
"376579",-0.0963421629604403,-0.0304513243901616,0.078301046035458,-0.0861162257020082,-0.122035762681456,-0.0701606105169411
"376851",-0.0967387665344875,-0.034520693873036,0.0799085291251986,-0.0794424911848076,-0.107497225957596,-0.0510080871601749
"377448",0.0702671648522713,-0.0344728314180531,0.0763767364087519,-0.12140444261379,-0.090039156255453,-0.00830004926897026
"377705",0.0801381076199267,-0.0607009240548421,-0.00793206437380255,-0.0457928738768138,0.100660939987999,-0.242696302693066
"384190",-0.0797655678295466,0.150005034160211,0.0462308151378075,0.100406428404373,-0.000823700517102927,-0.0373727555827109
"426049",0.077487672995922,-0.0638136792194418,-0.00681695823159035,-0.0316272230293265,0.138133921536793,-0.0367829409621415
"438644",0.0801147420020526,-0.0673186655275905,-0.0235859524259644,0.0256606220663872,0.11426227111623,-0.0486313452430978
"ADAYSEL",0.0736466174568817,0.0723121545192416,0.0319002413893524,0.0271932889893193,-0.0275461536190269,0.00365067685647284
"AbhayaXDagadesi",0.082380925810022,-0.0611303292410523,-0.0500531201777104,0.0537801367867267,0.0546954054668876,-0.0229219782463305
"ABHISEK",-0.0826204716992996,-0.0504462194612218,-0.0245489973144838,0.0848566057385924,-0.0198536671303406,-0.0144336228855133
"ABOR-A-1",0.0740646413443875,-0.0573718221301794,0.0165214287584709,-0.0667429459228774,0.163528241394984,-0.0500672046905682
"ANJALI",-0.0769396084778559,-0.0685737682660162,-0.0459206093401963,0.118144738552591,-0.0184681797249451,-0.0317477881413538
"Annada",-0.1008078839364,0.127933880365265,-0.264674754873462,-0.198562220945769,0.0425509156990613,0.0304218837384918
"Apo",0.079517828850256,-0.0356540982962234,-0.0827859748529028,0.0298885044622608,-0.154697530866723,0.086047218826797
"ARC10319",0.0653057148511543,-0.0345691900577487,0.0617603378090179,-0.118812555616304,0.0600719461476031,0.126399636288173
"ARC12071",-0.105652841473243,-0.045366525868176,0.111058158869974,-0.050374410079909,0.160124758152598,0.236361024512371
"ARNAPURNA",-0.095420457251268,-0.0567102197079851,0.0753700141957784,-0.0622862047499964,-0.0191676174452737,0.0195521262334256
"ASD16",-0.0848808996922831,-0.0657546783168331,-0.00366451270125473,0.0492366175740661,0.0152349042351921,-0.0516127671415825
"AUS257",-0.078954219534321,-0.0520416892883891,-0.0455745452374977,0.0947249095181225,-0.10865923948809,0.0124370859314623
"BAKAL",0.0730411914884525,0.149687650114385,0.0511663473301191,0.0388369555715499,0.0103186580158732,-0.0304994728589373
"BAM1057",0.0760045730025265,0.163860751680189,0.0915323005481123,0.054899900342288,-0.0016928223700596,0.0328319047788772
"BAM1098",0.0689402281442409,0.149971179281822,0.0102147824387185,0.0117016947610535,0.0279731709992672,-0.0473571911930114
"BAM1659",-0.0950515021796202,-0.0487778691630725,0.0531255054776612,-0.0153909751450651,0.0188102770579894,0.0666140755593817
"BAM1689",0.0682030470456377,0.138962192663373,0.0520756692779714,0.00228139775626098,0.00895311587669336,0.00303734855100912
"BAM1708",0.0723792026189873,0.149265854661843,0.0519734151020893,0.0352773876681772,0.0245304622781437,-0.00755494054128052
"BAM1812",0.0644869824921701,-0.0316497958712684,0.0781306697455564,-0.154923422854036,-0.0989925896323091,-0.0249836085785735
"BAM2096",-0.0940464660801434,-0.0284501285802733,0.0851214835329487,-0.0358434888444728,-0.0967025545946434,-0.0143181033708502
"BAM2166",-0.0830180149076094,0.127851394300559,0.00994474733631104,0.0547409792531986,0.0251206653612158,-0.0692158756113419
"BAM247",0.0817355441717099,-0.0628457809820504,0.00852836041569746,-0.0233146584619323,0.0736990402639434,-0.0603226829661331
"BAM2574",-0.0953824041634051,-0.0364337673294401,0.071801611586169,-0.0612193480497119,-0.0984515441745863,-0.0448329672446728
"BAM2680",-0.0789589823641081,-0.0651295684305043,-0.00838320034849615,0.0297363458712505,0.0875786145300349,-0.257225136371901
