panel,n,n_segments,mean_f_roh,median_f_roh,mean_total_roh_mb,genome_mb,plink_params
Set1,150,41244,0.814420074070515,0.8732939582286685,303.8321746666667,373.065675,--homozyg-window-snp 50 --homozyg-window-het 1 --homozyg-window-missing 5 --homozyg-snp 100 --homozyg-kb 300 --homozyg-density 50 --homozyg-gap 1000
Set2,147,15120,0.6733564330090435,0.6800109527384124,250.54892244897954,372.089595,--homozyg-window-snp 20 --homozyg-window-het 1 --homozyg-window-missing 3 --homozyg-snp 20 --homozyg-kb 1000 --homozyg-density 200 --homozyg-gap 1000
