target,sourceA,sourceB,f3,se,z,admixed
aus,indx,ind2,0.6536736713179678,0.02120353670759575,30.828520747852505,False
aus,indx,admix,0.39946429185618587,0.013993910130682194,28.545580765189055,False
aus,indx,subtrop,0.40445800330895515,0.017588859825152924,22.995123466193107,False
aus,ind2,admix,0.4034295198095327,0.014291778868033119,28.228082979362103,False
aus,ind2,subtrop,0.37654151439256534,0.01713541697621303,21.97445880163121,False
aus,admix,subtrop,0.4105000545979854,0.014669605871912437,27.983032276549473,False
indx,aus,ind2,0.009744595224127357,0.005069262081380443,1.9222906742027717,False
indx,aus,admix,0.2433871499200115,0.008127061641508077,29.947742573642888,False
indx,aus,subtrop,0.2387340919734723,0.010025824628206094,23.81191581008022,False
indx,ind2,admix,0.013389016177173876,0.0029884634385617744,4.480234224855521,False
indx,ind2,subtrop,-0.015918737648412156,0.0036938366687815265,-4.309540208680428,True
indx,admix,subtrop,0.2489178054599845,0.007873160840485867,31.615993944894857,False
ind2,aus,indx,0.16098741827700275,0.00896812059785541,17.95107642904584,False
ind2,aus,admix,0.454344158213384,0.018737961265955907,24.24725677274506,False
ind2,aus,subtrop,0.4857722124024289,0.020837715721476108,23.312162374006014,False
ind2,indx,admix,0.15633905251705726,0.006891251168074763,22.686599095579673,False
ind2,indx,subtrop,0.19369503844942845,0.00816294408250152,23.728575926992136,False
ind2,admix,subtrop,0.494114735239984,0.016777716173833206,29.450655269196485,False
admix,aus,indx,-0.060866777725577796,0.0030675233686587883,-19.84231916452866,True
admix,aus,ind2,-0.06381371364912347,0.004191322345500532,-15.225198252200471,True
admix,aus,subtrop,-0.06909440996795926,0.004340923499891273,-15.916984017269566,True
admix,indx,ind2,0.12511331936189984,0.004816558254220794,25.97566825902332,False
admix,indx,subtrop,-0.06535011934254453,0.004513338628950448,-14.479329984983057,True
admix,ind2,subtrop,-0.08904328318305835,0.004701238459063251,-18.940388571738335,True
subtrop,aus,indx,1.8813299335165155,0.09719680602824952,19.355882259852457,False
subtrop,aus,ind2,1.9532712781856065,0.10109306052610395,19.321516907495727,False
subtrop,aus,admix,1.8657594477152992,0.09334242563425464,19.988332583362887,False
subtrop,indx,ind2,2.5953425500944096,0.12853490988942065,20.191732754371543,False
subtrop,indx,admix,1.8527761572879897,0.0933784007218049,19.841592305781973,False
subtrop,ind2,admix,1.9349319667743725,0.0974090140790926,19.863992927833944,False
