cluster,n,mean_f_roh,sd_f_roh,mean_n_roh
C0,8,0.762563986773132,0.01067316242033965,108.75
C1,21,0.5229965930011843,0.1530018163239662,94.95238095238095
C2,23,0.6389881073856863,0.07692121716122118,100.95652173913044
C3,15,0.6425373616444896,0.04160820311449005,105.66666666666667
C4,9,0.7886517523047403,0.060476353774496845,102.0
C5,13,0.6594656528686531,0.029081667927058952,106.61538461538461
C6,20,0.7498512555826776,0.060800107909052076,110.25
C7,28,0.7268949373796462,0.15624204665560668,100.85714285714286
C8,10,0.6544165794262535,0.13146596423503068,101.6
