panel,trait,c_over_h2,Pst,theta_WC,theta_ci_lo,theta_ci_hi
Set1,Size_morphology,0.1,0.022487884399461595,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Size_morphology,0.25,0.05438519889980323,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Size_morphology,0.5,0.10316001961437127,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Size_morphology,1.0,0.18702639287169354,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Size_morphology,2.0,0.3151174969567999,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Colour,0.1,0.02000646105766969,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Colour,0.25,0.048558914593449395,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Colour,0.5,0.09262028850763586,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Colour,1.0,0.16953792544735194,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Colour,2.0,0.289922920426036,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,NIR,0.1,0.012478280455449067,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,NIR,0.25,0.030622526429068195,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,NIR,0.5,0.05942530003719216,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,NIR,1.0,0.11218403040800701,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,NIR,2.0,0.20173645249492042,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,height_index,0.1,0.030614889107350062,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,height_index,0.25,0.0731767745129537,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,height_index,0.5,0.13637413006103108,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,height_index,1.0,0.2400162524884421,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,height_index,2.0,0.3871179139898882,0.4028781954074634,0.3930454666422562,0.413464411451502
Set2,Size_morphology,0.1,0.018734787982071687,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Size_morphology,0.25,0.04555672653596638,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Size_morphology,0.5,0.08714348132386918,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Size_morphology,1.0,0.16031643075806368,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Size_morphology,2.0,0.2763322599048691,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Colour,0.1,0.003317276862335519,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Colour,0.25,0.008252130254700452,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Colour,0.5,0.016369179904664983,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Colour,1.0,0.03221109067120749,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Colour,2.0,0.062411828282646825,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,NIR,0.1,0.011517005302085258,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,NIR,0.25,0.02830355496629119,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,NIR,0.5,0.055049026777348846,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,NIR,1.0,0.10435349520296001,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,NIR,2.0,0.18898567470695918,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,height_index,0.1,0.015574216683315727,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,height_index,0.25,0.03804671991814734,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,height_index,0.5,0.07330444610652481,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,height_index,1.0,0.13659581188252973,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,height_index,2.0,0.24035951998853092,0.3785591223424501,0.3651581887883535,0.3929727249740469
