panel,features,accuracy,cv_folds,empirical_p,null_mean,nonsize_raw_accuracy
Set1,nonsize_residualised_on_sizePC10,0.2602739726027397,2,0.052,0.1924184458431034,0.4178082191780822
Set2,nonsize_residualised_on_sizePC10,0.23809523809523808,5,0.01,0.1533574390717248,0.3265306122448979
