length_class,n_segments,total_mb,share_of_roh
<0.5Mb,12687,4982.809735999999,0.109332488055038
0.5-1Mb,14669,10421.063165,0.22865829208297087
1-2Mb,9006,12419.834909,0.2725152120546042
2-4Mb,3713,10066.293442,0.22087395783036023
4-8Mb,947,4982.77454,0.10933171578668872
>8Mb,222,2702.055849,0.05928833419033804
