"sample_a","sample_b","distance"
"281785","281785",0
"282803","281785",0.182641107561235
"299554","281785",0.320699708454811
"356457","281785",0.302864214992928
"376579","281785",0.239238705087158
"376851","281785",0.242386241490505
"377448","281785",0.346704871060172
"377705","281785",0.31510509440684
"384190","281785",0.303960042811274
"426049","281785",0.302234835047889
"438644","281785",0.177905308464849
"ADAYSEL","281785",0.37121757925072
"AbhayaXDagadesi","281785",0.293048128342246
"ABHISEK","281785",0.211166785969936
"ABOR-A-1","281785",0.316589202717197
"ANJALI","281785",0.179523640241735
"Annada","281785",0.344062947067239
"Apo","281785",0.336661911554922
"ARC10319","281785",0.353479196556671
"ARC12071","281785",0.215120396600567
"ARNAPURNA","281785",0.234491315136476
"ASD16","281785",0.201566951566952
"AUS257","281785",0.225044722719141
"BAKAL","281785",0.40379746835443
"BAM1057","281785",0.399675792507205
"BAM1098","281785",0.414352686620988
"BAM1659","281785",0.214002879769618
"BAM1689","281785",0.399855647780585
"BAM1708","281785",0.397944464478904
"BAM1812","281785",0.344846098783107
"BAM2096","281785",0.238821859474805
"BAM2166","281785",0.305605786618445
"BAM247","281785",0.302425106990014
"BAM2574","281785",0.237722419928826
"BAM2680","281785",0.19925346605048
"BAM3154","281785",0.328344752975117
"BAM3181","281785",0.25160370634355
"BAM326","281785",0.218126780626781
"BAM328","281785",0.356455064194009
"BAM350","281785",0.374195989405978
"BAM3690","281785",0.329193664506839
"BAM4009","281785",0.409794742527908
"BAM4054","281785",0.191613588110403
"BAM4138","281785",0.313467770975873
"BAM4168","281785",0.279040404040404
"BAM4234","281785",0.192636072572038
"BAM4254","281785",0.19192280200143
"BAM4477","281785",0.323024669288523
"BAM4496","281785",0.350070972320795
"BAM4510","281785",0.311242816091954
"BAM4521","281785",0.301409468738706
"BAM4534","281785",0.410522548317824
"BAM4797","281785",0.250531161473088
"BAM491","281785",0.363620071684588
"BAM4928","281785",0.291068866571019
"BAM5110","281785",0.202852049910873
"BAM56","281785",0.29257408068547
"BAM5779","281785",0.291681670867843
"BAM5850","281785",0.418680129823296
"BAM6921","281785",0.327734095782702
"BAM712","281785",0.341758632965468
"BAM742","281785",0.34514858575009
"BAM7429","281785",0.347073518915061
"BAM7449","281785",0.407367280606717
"BAM747","281785",0.340535714285714
"BAM759","281785",0.35969868173258
"BAM766","281785",0.343299711815562
"BAM807","281785",0.291949910554562
"BAM811","281785",0.344919786096257
"BAM812","281785",0.230314960629921
"BAM819","281785",0.174302075876879
"BAM8296","281785",0.312366737739872
"BAM8305","281785",0.242918608820366
"BAM8315","281785",0.315326633165829
"BAM8364","281785",0.201785714285714
"BAMAWPYAN","281785",0.302915766738661
"BENAMURI","281785",0.230933713471133
"BLACKGORA","281785",0.20610145441646
"CGR1656","281785",0.345947875758658
"CGR1679","281785",0.230085348506401
"CGR2012","281785",0.237095051619793
"CO18","281785",0.212508884150675
"CRDHAN-204","281785",0.217236467236467
"CR143-2-2","281785",0.34024303073624
"CR262-4","281785",0.335887384176764
"CROSSA","281785",0.233214920071048
"DULAR","281785",0.416307471264368
"EYPO","281785",0.334
"EYPO-2","281785",0.204448398576512
"FULKATI","281785",0.410334893770256
"Ghanteswari","281785",0.326923076923077
"GHATIKAMMANANGARHAR","281785",0.17375132837407
"GotrabiDhan","281785",0.302846975088968
"GP-145-37","281785",0.236767317939609
"GP-145-51","281785",0.344162799000357
"HARBHOONDI","281785",0.23207277916518
"HongZuiEr","281785",0.333870967741935
"IndrabaruniDhan","281785",0.311944543192321
"IR74371-54-1-1","281785",0.333451830785638
"IR77298-14-1-2-10","281785",0.323751347466762
"IR77298-5-6-18","281785",0.29543834640057
"IR83383-B-B-129-4","281785",0.283220520128251
"IR83388-B-B108-3","281785",0.305704099821747
"IR87707-445-B-B","281785",0.285257548845471
"IR87707-446-B-B","281785",0.29978354978355
"IRROEPYO","281785",0.25
"KALINGA-1","281785",0.29925187032419
"KANGRO","281785",0.213982300884956
"KHAODAWTAI","281785",0.219119226638024
"MANDRIRAVINA","281785",0.213120567375886
"MAUDAMANI","281785",0.209227467811159
"MOROBEREKAN","281785",0.431147540983607
"MTU1010","281785",0.293202146690519
"MTU9","281785",0.216346153846154
"NERICA-L-26","281785",0.344277000358809
"NERICA-L-42","281785",0.346851654215582
"NERICA-L-44","281785",0.307323142552435
"PARIJAT","281785",0.311293781272337
"Patchaiperumal","281785",0.334281650071124
"PEH-KUH-TSAO-TU","281785",0.213854351687389
"PMK-2","281785",0.315024805102764
"PRASAD-1","281785",0.198503207412687
"PUSASUGANDH5","281785",0.319039145907473
"PUSA1121","281785",0.385802469135803
"Pusa1121-SN12","281785",0.381056466302368
"PUSA44","281785",0.298175182481752
"PUSABASMATI6","281785",0.245330459770115
"PUSASUGANDH2","281785",0.207520397304009
"RASI","281785",0.329532916513424
"RKVY-104","281785",0.408405172413793
