panel,n_snps_tested,share_sig_het_deficit,share_sig_het_excess,mean_F,median_F,selfing_rate_from_mean_F,selfing_rate_from_median_F
Set1,502675,0.9925279753319739,0.0,0.9256453333333335,0.97155,0.9613871436346189,0.9855697294007253
Set2,31565,0.8478694756850943,0.015903690796768573,0.7866282993197279,0.813,0.8805729760569028,0.8968560397131825
