bin_mid_bp,n_pairs,c_morgan,t_gen_panmictic,t_gen_selfing_adj,r2,r2_adj,ne_panmictic,ne_selfing_adj
37500,114295,0.0015,333.3333333333333,1562.2190396880153,0.3065770944194784,0.299774373331043,389.307030533312,1824.5485661506307
62500,106869,0.0025,200.0,937.331423812809,0.2784617492900822,0.27165902820164683,268.1085096342614,1256.5326553590623
87500,104781,0.0035,142.85714285714286,669.5224455805779,0.2599257436596887,0.2531230225712533,210.76058190482212,987.7625816023153
112500,100070,0.0045000000000000005,111.1111111111111,520.7396798960051,0.2389085865693983,0.23210586548096293,183.79882456937133,861.4020696436479
137500,100482,0.0055000000000000005,90.9090909090909,426.0597380967314,0.2243988555101433,0.21759613442170792,163.439539798151,765.9850827315557
162500,101127,0.006500000000000001,76.92307692307692,360.51208608184965,0.2126491874370035,0.20584646634856812,148.38421674520862,695.4259457656743
187500,95755,0.007500000000000001,66.66666666666666,312.443807937603,0.2127662150328678,0.20596349394443242,128.5076448660676,602.27126866571
212500,101319,0.0085,58.8235294117647,275.6857128861203,0.1982480607320214,0.191445339643586,124.21832501392105,582.1686972447045
237500,102204,0.0095,52.631578947368425,246.66616416126558,0.2024303435744891,0.19562762248605373,108.2040147301432,507.11511594633646
262500,100445,0.0105,47.61904761904761,223.1741485268593,0.2032219152935583,0.1964191942051229,97.40838417486206,456.51969714964287
287500,96927,0.0115,43.47826086956522,203.76770082887154,0.1849940924820968,0.17819137139366142,100.25965247348961,469.8826140197672
312500,96827,0.0125,40.0,187.46628476256183,0.1748419402113645,0.16803921912292913,99.01983420530534,464.07201090683577
337500,96291,0.0135,37.03703703703704,173.57989329866837,0.176376866409722,0.16957414532128662,90.6875074557365,425.02125242760115
362500,95305,0.0145,34.48275862068965,161.60886617462225,0.1623958682097766,0.15559314712134123,93.5692806019386,438.5271350587769
387500,95128,0.0155,32.25806451612903,151.18248771174342,0.1665887532996848,0.15978603221124943,84.81240820990264,397.4866767219062
412500,92541,0.0165,30.3030303030303,142.01991269891047,0.1553513454995686,0.14854862441113323,86.84549230363834,407.01504476346844
437500,92284,0.0175,28.57142857142857,133.90448911611557,0.154023104397693,0.14722038330925763,82.7505381991409,387.823398957385
462500,90769,0.0185,27.027027027027028,126.66640862335261,0.1517078338014648,0.14490511271302942,79.7441587694219,373.7335294004847
487500,95541,0.0195,25.641025641025642,120.17069536061655,0.1438978157604226,0.13709509467198722,80.69496161120986,378.18961630777653
512500,93435,0.0205,24.390243902439025,114.30871022107429,0.1452853461249613,0.13848262503652592,75.86734760409799,355.5642447532524
537500,87955,0.021500000000000002,23.25581395348837,108.99202602474523,0.1431603891969671,0.13635766810853173,73.64714310323471,345.1589075235035
562500,91486,0.0225,22.22222222222222,104.14793597920102,0.1375160409817951,0.13071331989335971,73.89255278615602,346.3090585610539
587500,88971,0.0235,21.27659574468085,99.7161089162563,0.1360293771686764,0.12922665608024103,71.68448440049623,335.9605991420212
612500,86718,0.0245,20.408163265306122,95.64606365436828,0.1303590734608214,0.12355635237238603,72.3823773937434,339.23138430716796
637500,92842,0.025500000000000002,19.6078431372549,91.89523762870677,0.1360030061195326,0.1292002850310972,66.07765691448306,309.6833211893336
662500,88391,0.0265,18.867924528301888,88.42749281252918,0.1306011090815871,0.12379838799315172,66.77027930216744,312.92940483339777
687500,84379,0.0275,18.181818181818183,85.21194761934629,0.1300390801861169,0.12323635909768153,64.67716680382999,303.1197042420626
712500,89775,0.0285,17.543859649122805,82.22205472042185,0.1273218455596164,0.12051912447118103,64.01261671982525,300.00518585988715
737500,89849,0.029500000000000002,16.94915254237288,79.43486642481433,0.1223206501668828,0.11551792907844743,64.8869905331441,304.1030761168012
762500,86584,0.0305,16.39344262295082,76.83044457482042,0.1300916284909904,0.12328890740255503,58.2871293784492,273.1717898513161
787500,86021,0.0315,15.873015873015873,74.39138284228645,0.1272430868591395,0.12044036577070412,57.959239603960015,271.635082905438
812500,85613,0.0325,15.384615384615383,72.10241721636993,0.1256753852258122,0.11887266413737684,57.01817682596616,267.2246443374669
837500,87068,0.0335,14.925373134328357,69.95010625468724,0.1231518918035895,0.11634917071515413,56.677749684283775,265.6291790503785
862500,83543,0.0345,14.492753623188404,67.92256694295718,0.1198101929959065,0.11300747190747114,56.87661160042362,266.5611766653661
887500,83243,0.035500000000000004,14.08450704225352,66.00925519808514,0.1224909751602145,0.11568825407177913,53.8304217355797,252.28472924927453
912500,87875,0.0365,13.698630136986303,64.20078245293215,0.1217648312003859,0.11496211011195054,52.72957628817438,247.12544409620318
937500,84602,0.0375,13.333333333333334,62.488761587520614,0.1207866342142712,0.11398391312583583,51.82111887993768,242.86781571652415
962500,89889,0.0385,12.987012987012987,60.86567687096164,0.1166990136264444,0.10989629253800903,52.59407820604678,246.49041104498036
987500,83736,0.0395,12.658227848101266,59.324773659038556,0.1200534303998828,0.11325070931144743,49.55675171450465,232.2555032204726
