sample,UMAP1,UMAP2
281785,3.1316178,6.2687883
282803,-1.581318,5.4009213
299554,-1.4714488,4.239491
356457,-0.36145455,5.3323226
376579,7.8733015,-0.6514995
376851,7.4661503,-0.6186138
377448,0.56647754,1.632176
377705,-0.19985299,6.003043
384190,5.6104198,5.5390806
426049,-0.59255636,5.6043296
438644,-1.481177,5.371122
ADAYSEL,-0.70366126,2.0592213
AbhayaXDagadesi,-2.0007155,5.1253653
ABHISEK,3.6278567,6.0438986
ABOR-A-1,0.2544855,5.765823
ANJALI,3.4095454,6.196217
Annada,7.0240974,4.948827
Apo,-0.30877715,3.8241785
ARC10319,1.1364584,2.359593
ARC12071,8.3005905,1.3127702
ARNAPURNA,8.019293,0.4017204
ASD16,2.806462,6.539354
AUS257,3.9580665,6.3793035
BAKAL,-0.8509453,1.2125673
BAM1057,-0.8598442,0.87802374
BAM1098,-1.2180144,1.3254355
BAM1659,8.667641,1.357365
BAM1689,-1.0748374,1.3658081
BAM1708,-0.95111907,1.2975373
BAM1812,0.78351164,1.8760935
BAM2096,7.220793,-0.43963432
BAM2166,5.649437,5.4641805
BAM247,-0.8206442,5.6876397
BAM2574,7.873223,-0.8528916
BAM2680,2.0595317,6.153353
BAM3154,-0.31155798,3.1939988
BAM3181,8.126408,0.36222667
BAM326,7.733581,-0.5358923
BAM328,0.3964395,1.8015007
BAM350,-0.08660111,1.8325921
BAM3690,-0.68364084,6.1348634
BAM4009,-1.2992978,1.1961534
BAM4054,2.4159718,6.3505507
BAM4138,5.3733664,6.008975
BAM4168,5.070418,5.832173
BAM4234,3.731395,6.9024615
BAM4254,3.6006386,6.9870167
BAM4477,-0.5534593,6.205499
BAM4496,1.2204095,2.245827
BAM4510,5.2557745,5.6949544
BAM4521,5.7555823,5.8207517
BAM4534,-1.0415374,0.15248324
BAM4797,7.847679,-0.30359024
BAM491,0.2195779,1.7308351
BAM4928,5.87867,5.3714013
BAM5110,3.3026898,6.7723784
BAM56,5.875615,5.951515
BAM5779,6.307208,4.908594
BAM5850,-0.85389143,0.17255846
BAM6921,-0.7173049,3.90988
BAM712,7.067267,4.9956603
BAM742,7.256909,4.970283
BAM7429,0.80673695,1.6771272
BAM7449,-0.7896554,0.45905554
BAM747,7.2719955,5.0977535
BAM759,-0.8433637,1.7818434
BAM766,6.841505,4.9538527
BAM807,6.299085,5.0373087
BAM811,0.7353187,4.319452
BAM812,2.5391178,5.471827
BAM819,2.5834532,6.402059
BAM8296,-1.1129211,4.5246987
BAM8305,-1.8086548,5.217296
BAM8315,6.7814636,5.2431803
BAM8364,2.5070896,5.96812
BAMAWPYAN,5.3873687,5.483902
BENAMURI,7.4967413,0.19890122
BLACKGORA,2.6411982,6.763727
CGR1656,0.99322534,2.4706912
CGR1679,7.719666,-0.66748345
CGR2012,7.435051,-0.881228
CO18,8.278779,0.982044
CRDHAN-204,3.759511,6.597867
CR143-2-2,-0.23662668,3.7419503
CR262-4,-0.4153203,3.576985
CROSSA,7.535705,-0.24262385
DULAR,-1.1403755,0.59765005
EYPO,0.17970355,2.222598
EYPO-2,1.5782208,5.951223
FULKATI,-0.6370451,0.25928798
Ghanteswari,0.053772237,5.5509105
GHATIKAMMANANGARHAR,2.9197135,6.6285396
GotrabiDhan,-0.81882197,5.5971804
GP-145-37,7.507419,-0.88024545
GP-145-51,0.9070073,1.7162219
HARBHOONDI,3.9500158,6.509007
HongZuiEr,-0.5018855,6.177296
IndrabaruniDhan,-0.89845634,4.0945935
IR74371-54-1-1,0.01918715,3.6475017
IR77298-14-1-2-10,-1.1886784,3.7478127
IR77298-5-6-18,-2.3247452,5.0825768
IR83383-B-B-129-4,-2.0174954,4.696377
IR83388-B-B108-3,-1.3290029,4.026536
IR87707-445-B-B,-2.2653737,4.78626
IR87707-446-B-B,-1.7071543,4.3044
IRROEPYO,5.597792,5.9011383
KALINGA-1,-0.24038117,5.256104
KANGRO,8.198922,1.2179645
KHAODAWTAI,2.1311722,5.97487
MANDRIRAVINA,8.282512,1.055666
MAUDAMANI,3.4613626,5.9207883
MOROBEREKAN,7.199526,4.695438
MTU1010,-2.1019619,4.8899627
MTU9,8.657745,1.4155505
NERICA-L-26,-0.8114244,3.7682087
NERICA-L-42,-0.7559599,3.4776902
NERICA-L-44,-1.5537311,4.446888
PARIJAT,-0.92682004,5.3890996
Patchaiperumal,0.7439463,2.2460663
PEH-KUH-TSAO-TU,8.564142,1.245561
PMK-2,0.5110717,5.5305586
PRASAD-1,3.058436,6.0500655
PUSASUGANDH5,-1.4664689,3.4491909
PUSA1121,-1.177425,2.2343748
Pusa1121-SN12,-1.1488758,2.561913
PUSA44,-1.2838951,4.7826195
PUSABASMATI6,3.6774988,5.512909
PUSASUGANDH2,3.1200006,7.085805
RASI,0.13076891,5.0950265
RKVY-104,-1.103447,1.0216895
RKVY-143,0.60631263,2.0786898
RKVY-28,-0.59186745,0.82318425
R-RF-44,-1.9863483,4.565521
RRF-78,-2.6198368,4.881516
Sadabahar,7.2398086,-0.6300468
SAFRI-17,2.9272466,6.9014935
SAHBHAGIDHAN,-0.95100933,5.231213
SATABHAMA,3.6918836,6.2744884
SERATOES,-0.41998214,0.4282077
SERETY,8.389541,1.4832749
SHAKU,4.05425,6.060892
SR1-3-1,3.5500712,7.064013
SUWEON,3.8036642,5.591337
SWARNA,-1.103136,3.3756325
VANAPRAVA,-0.40170345,1.0399811
VANDANA,0.042592835,3.369942
Wayrarem,-0.3708705,3.8775065
