cluster,n,mean_rarefied_richness_Ag,n_private_alleles,private_per_1k_snps
C0,8,1.2081249795731608,2,0.06336131791541263
C1,21,1.7618466969770945,1,0.03168065895770632
C2,23,1.6018699198773676,0,0.0
C3,15,1.551002033377838,0,0.0
C4,9,1.5786306996645276,342,10.83478536353556
C5,13,1.5169307222595818,0,0.0
C6,20,1.5308089892395542,0,0.0
C7,28,1.6685415664728682,0,0.0
C8,10,1.6468873779485682,0,0.0
