sample,F,cluster,s_hat
IRIS_313-11493,0.9776,C6,0.988673139158576
IRIS_313-11494,0.9931,C5,0.996538056294215
IRIS_313-11596,0.9743,C2,0.9869827280555135
IRIS_313-11597,0.9737,C0,0.9866747732684805
IRIS_313-11599,0.9742,C0,0.9869314152568128
IRIS_313-11600,0.9761,C0,0.9879054703709327
IRIS_313-11602,0.9705,C4,0.9850291804110632
IRIS_313-11604,0.9683,C4,0.9838947314941827
IRIS_313-11616,0.8876,C0,0.9404534859080314
IRIS_313-11618,0.967,C1,0.9832231825114387
IRIS_313-11620,0.9683,C1,0.9838947314941827
IRIS_313-11621,0.9671,C2,0.9832748716384526
IRIS_313-11636,0.9598,C4,0.9794877028268191
IRIS_313-11638,0.9715,C0,0.985544002028912
IRIS_313-11639,0.9751,C2,0.9873930433902082
IRIS_313-11641,0.9628,C0,0.9810474831872834
IRIS_313-11646,0.948,C0,0.973305954825462
IRIS_313-11647,0.967,C0,0.9832231825114387
IRIS_313-11648,0.9805,C0,0.990154001514769
IRIS_313-11712,0.9587,C4,0.9789145862051362
IRIS_313-11737,0.9724,C1,0.986006895153113
IRIS_313-11738,0.9736,C0,0.9866234292663154
IRIS_313-11742,0.9709,C4,0.9852351717489473
IRIS_313-11828,0.9697,C0,0.9846169467431588
IRIS_313-11913,0.9949,C5,0.9974434808762345
IRIS_313-11917,0.9671,C1,0.9832748716384526
IRIS_313-11918,0.4388,C0,0.6099527383931054
IRIS_313-11919,0.9732,C0,0.9864180012162984
IRIS_313-11937,0.9749,C2,0.9872904957213023
IRIS_313-11963,0.9595,C4,0.9793314621076805
IRIS_313-12052,0.9741,C0,0.9868800972595106
