panel,n_snps_nomaf,genome_pi,genome_theta_w,genome_tajima_d,maf_filtered_pi,maf_filtered_theta_w,maf_filtered_tajima_d
Set1,880050,0.0004587409137250183,0.000337734711996359,1.1378647481210353,0.000431,0.000217,3.1533
Set2,47305,3.246205143918408e-05,1.9844937838803492e-05,1.9830715950716806,3.2e-05,1.6e-05,2.7626
