metric,value
accuracy,0.4520547945205479
balanced_accuracy,0.3899345662018473
macro_f1,0.39447350143527204
null_mean_accuracy,0.1904794520547945
null_p97_5,0.26780821917808195
empirical_p,0.009900990099009901
cv_folds,2.0
recall_C0,0.4838709677419355
recall_C1,0.15
recall_C2,0.55
recall_C3,0.0
recall_C4,0.42424242424242425
recall_C5,0.55
recall_C6,0.5714285714285714
