panel,g_gene_copies,n_clusters,richness_min,richness_max,top_private_cluster,top_private_n
Set1,10,7,1.3539315641543528,1.7495006013977863,C5,3350
Set2,16,9,1.2081249795731608,1.7618466969770945,C4,342
