panel,trait,c_over_h2,Pst,theta_WC,theta_ci_lo,theta_ci_hi
Set1,Size_morphology,0.1,0.0224878843994615,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Size_morphology,0.25,0.0543851988998032,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Size_morphology,0.5,0.1031600196143712,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Size_morphology,1.0,0.1870263928716935,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Size_morphology,2.0,0.3151174969567999,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Colour,0.1,0.0200064610576696,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Colour,0.25,0.0485589145934493,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Colour,0.5,0.0926202885076358,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Colour,1.0,0.1695379254473519,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,Colour,2.0,0.289922920426036,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,NIR,0.1,0.012478280455449,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,NIR,0.25,0.0306225264290681,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,NIR,0.5,0.0594253000371921,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,NIR,1.0,0.112184030408007,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,NIR,2.0,0.2017364524949204,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,height_index,0.1,0.03061488910735,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,height_index,0.25,0.0731767745129537,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,height_index,0.5,0.136374130061031,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,height_index,1.0,0.2400162524884421,0.4028781954074634,0.3930454666422562,0.413464411451502
Set1,height_index,2.0,0.3871179139898882,0.4028781954074634,0.3930454666422562,0.413464411451502
Set2,Size_morphology,0.1,0.0187347879820716,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Size_morphology,0.25,0.0455567265359663,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Size_morphology,0.5,0.0871434813238691,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Size_morphology,1.0,0.1603164307580636,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Size_morphology,2.0,0.2763322599048691,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Colour,0.1,0.0033172768623355,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Colour,0.25,0.0082521302547004,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Colour,0.5,0.0163691799046649,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Colour,1.0,0.0322110906712074,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,Colour,2.0,0.0624118282826468,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,NIR,0.1,0.0115170053020852,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,NIR,0.25,0.0283035549662911,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,NIR,0.5,0.0550490267773488,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,NIR,1.0,0.10435349520296,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,NIR,2.0,0.1889856747069591,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,height_index,0.1,0.0155742166833157,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,height_index,0.25,0.0380467199181473,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,height_index,0.5,0.0733044461065248,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,height_index,1.0,0.1365958118825297,0.3785591223424501,0.3651581887883535,0.3929727249740469
Set2,height_index,2.0,0.2403595199885309,0.3785591223424501,0.3651581887883535,0.3929727249740469
