panel,features,target,cv_folds,n_repeats,acc_mean,acc_sd,acc_p2.5,acc_p97.5
Set1,full_204,admixture_elbowK,2,20,0.4729452054794519,0.0299359982045666,0.4246575342465753,0.5172945205479452
Set1,height_only,admixture_elbowK,2,20,0.2821917808219178,0.0327804406364996,0.2357876712328767,0.3356164383561644
Set1,nonsize_colour_nir,admixture_elbowK,2,20,0.4226027397260273,0.0280298279093825,0.3799657534246575,0.4696917808219177
Set1,full_204,external_3KRGP_subpop,5,20,0.5798449612403098,0.0200575112692008,0.5463178294573643,0.6127906976744185
Set2,full_204,admixture_elbowK,5,20,0.3040816326530612,0.0229474118154884,0.272108843537415,0.3472789115646258
Set2,height_only,admixture_elbowK,5,20,0.2418367346938775,0.0207601816034247,0.2066326530612245,0.2831632653061224
Set2,nonsize_colour_nir,admixture_elbowK,5,20,0.3119047619047619,0.0275024656904156,0.2685374149659864,0.3469387755102041
