panel,F_source,F,cm_per_mb,recent_ne_panmictic,recent_ne_selfing_adj,epoch_generations_selfing_adj
Set1,PLINK_F,0.9256453333333337,3.0,94.20037100822782,1266.9059688012617,232.98888312142253
Set1,PLINK_F,0.9256453333333337,4.0,70.65027825617086,950.179476600946,174.74166234106693
Set1,PLINK_F,0.9256453333333337,5.0,56.52022260493669,760.1435812807571,139.79332987285355
Set1,F_ROH,0.814420074070515,3.0,94.20037100822782,507.600003267709,93.34959400789288
Set1,F_ROH,0.814420074070515,4.0,70.65027825617086,380.7000024507818,70.01219550591966
Set1,F_ROH,0.814420074070515,5.0,56.52022260493669,304.5600019606254,56.009756404735725
Set2,PLINK_F,0.7866282993197279,3.0,68.38824453029383,320.5122530881944,81.19076094112036
Set2,PLINK_F,0.7866282993197279,4.0,51.29118339772037,240.38418981614575,60.89307070584027
Set2,PLINK_F,0.7866282993197279,5.0,41.0329467181763,192.30735185291664,48.71445656467222
Set2,F_ROH,0.6733564330090435,3.0,68.38824453029383,209.3665739701748,53.0358240363322
Set2,F_ROH,0.6733564330090435,4.0,51.29118339772037,157.02493047763105,39.77686802724915
Set2,F_ROH,0.6733564330090435,5.0,41.0329467181763,125.61994438210483,31.82149442179933
