panel,imaging_day_DAS,n_features,mantel_r,p
Set1,68,68,0.1606132958938912,0.001
Set1,75,68,0.1512137721523786,0.001
Set1,83,68,0.1367277427012325,0.001
Set2,68,68,0.0848532830656319,0.003
Set2,75,68,0.0994710699941621,0.002
Set2,83,68,0.0710043858589246,0.014
